target_points,horizon_bars,feature,gain_normalized
5.0,30,half_life_30,0.006764455277117945
5.0,30,normalized_range_5,0.006710520169387261
5.0,30,log_zscore_5,0.006673381597335849
5.0,30,zscore_30,0.006650855387782767
5.0,30,past_return_3,0.006614534295208398
5.0,30,return_1,0.0065647017964649765
5.0,30,past_return_5,0.006538738319206806
5.0,30,short_return,0.006437347093153568
5.0,30,displacement_5,0.006371514871716499
5.0,30,abs_zscore_30,0.006365934630767221
5.0,30,return,0.005998713806981132
5.0,30,zscore_5,0.005994380673482304
5.0,30,displacement_1,0.005935169312925566
5.0,30,log_return,0.005411908407473848
5.0,30,normalized_ou_residual_30,0.005402397874387957
5.0,30,long_return,0.0037499345184880354
5.0,30,direction_30,0.0018614931919035457
5.0,30,vwap_side,0.0006152824720456486
5.0,30,zscore_direction_60,0.0004309509282133409
5.0,30,past_return_1,0.00017666641534084366
5.0,30,direction_1,0.0
5.0,30,direction_10,0.0
5.0,30,direction_15,0.0
5.0,30,direction_5,0.0
5.0,30,direction_60,0.0
5.0,30,zscore_direction_15,0.0
5.0,30,zscore_direction_30,0.0
5.0,30,zscore_direction_5,0.0
5.0,60,atr_30,0.031736278418628944
5.0,60,atr_60,0.0238122446462512
5.0,60,atr_15,0.015303031319663637
5.0,60,rolling_mean_30,0.012243838049471378
5.0,60,close,0.012207737236860253
5.0,60,rolling_mean_60,0.011996535451284476
5.0,60,vwap,0.011876456173402923
5.0,60,minutes_until_rth_close,0.01161055847825039
5.0,60,rolling_mean_15,0.011468227597929183
5.0,60,typical_price,0.011391009403658765
5.0,60,low,0.01134608466444271
5.0,60,rolling_mean_5,0.011291663051538524
5.0,60,variance_30,0.011254393140829745
5.0,60,vwap_distance,0.01102160294318483
5.0,60,high,0.011012595302114883
5.0,60,rolling_range_60,0.010802497599451314
5.0,60,realized_vol_30,0.010598509040262018
5.0,60,minutes_since_rth_open,0.010541243922142755
5.0,60,half_life_60,0.010521443649416878
