context,side,hmm_state,vol_bucket,zscore,tp,sl,rr,horizon,observations,wins,aggregate_wr,mean_window_wr,median_window_wr,std_window_wr,min_window_wr,max_window_wr,mean_window_expectancy,median_window_expectancy,min_window_expectancy,positive_window_ratio,wr_ge_50_window_ratio,windows
C1,LONG,0,40-60,2.0,50.0,10.0,5.0,4,5149,2337,0.45387453874538747,0.46768381304297335,0.46308724832214765,0.06631241022448184,0.32193732193732194,0.5981308411214953,1.8061028782578414,1.7785234899328857,0.9316239316239315,1.0,0.3333333333333333,21
C1,LONG,0,40-60,2.0,45.0,10.0,4.5,3,5149,2456,0.47698582248980387,0.48612085463138904,0.5,0.05027007834830328,0.3646723646723647,0.5794392523364486,1.6736647004726397,1.75,1.0056980056980058,1.0,0.5238095238095238,21
C1,LONG,0,40-60,2.0,50.0,10.0,5.0,5,5149,2270,0.4408623033598757,0.46026316673543405,0.44966442953020136,0.08126688031731265,0.31054131054131057,0.6266666666666667,1.7615790004126046,1.6979865771812084,0.8632478632478635,1.0,0.3333333333333333,21
C1,LONG,0,40-60,2.0,47.5,10.0,4.75,4,5149,2337,0.45387453874538747,0.46768381304297335,0.46308724832214765,0.06631241022448184,0.32193732193732194,0.5981308411214953,1.6891819249970976,1.662751677852349,0.8511396011396012,1.0,0.3333333333333333,21
C1,LONG,0,40-60,2.0,50.0,12.5,4.0,3,5149,2586,0.5022334433870654,0.507642123949313,0.5084745762711864,0.03978098389078248,0.4131054131054131,0.5794392523364486,1.538210619746565,1.542372881355932,1.0655270655270654,1.0,0.6666666666666666,21
C1,LONG,0,40-60,2.0,42.5,10.0,4.25,3,5149,2456,0.47698582248980387,0.48612085463138904,0.5,0.05027007834830328,0.3646723646723647,0.5794392523364486,1.5521344868147928,1.625,0.9145299145299146,1.0,0.5238095238095238,21
C1,LONG,0,40-60,2.0,47.5,10.0,4.75,5,5149,2270,0.4408623033598757,0.46026316673543405,0.44966442953020136,0.08126688031731265,0.31054131054131057,0.6266666666666667,1.646513208728746,1.585570469798658,0.7856125356125359,1.0,0.3333333333333333,21
C1,LONG,0,40-60,2.0,45.0,10.0,4.5,4,5149,2337,0.45387453874538747,0.46768381304297335,0.46308724832214765,0.06631241022448184,0.32193732193732194,0.5981308411214953,1.572260971736354,1.546979865771812,0.7706552706552706,1.0,0.3333333333333333,21
A2,LONG,0,20-40,2.5,50.0,10.0,5.0,3,796,381,0.478643216080402,0.48835162905052526,0.49707767722473606,0.12004089045727888,0.2826086956521739,0.6666666666666666,1.9301097743031517,1.982466063348416,0.6956521739130432,1.0,0.5,14
A2,LONG,0,20-40,2.5,50.0,10.0,5.0,4,796,372,0.46733668341708545,0.4736667223231695,0.4649321266968326,0.11312359988312723,0.2608695652173913,0.6486486486486487,1.8420003339390167,1.7895927601809958,0.5652173913043479,1.0,0.5,14
A2,LONG,0,20-40,2.5,47.5,10.0,4.75,3,796,381,0.478643216080402,0.48835162905052526,0.49707767722473606,0.12004089045727888,0.2826086956521739,0.6666666666666666,1.8080218670405201,1.858196644042232,0.6249999999999998,1.0,0.5,14
A2,LONG,0,20-40,2.5,47.5,10.0,4.75,4,796,373,0.4685929648241206,0.47706808286738717,0.4649321266968326,0.11842288594147393,0.2608695652173913,0.6666666666666666,1.743141476487476,1.6733597285067874,0.5,1.0,0.5,14
A2,LONG,0,20-40,2.5,50.0,10.0,5.0,5,796,357,0.4484924623115578,0.4512294012375251,0.4296703296703297,0.10965178314314027,0.2608695652173913,0.6486486486486487,1.70737640742515,1.5780219780219782,0.5652173913043479,1.0,0.35714285714285715,14
A2,LONG,0,20-40,2.5,45.0,10.0,4.5,3,796,381,0.478643216080402,0.48835162905052526,0.49707767722473606,0.12004089045727888,0.2826086956521739,0.6666666666666666,1.6859339597778893,1.733927224736048,0.5543478260869563,1.0,0.5,14
A2,LONG,0,20-40,2.5,47.5,10.0,4.75,5,796,358,0.44974874371859297,0.4546307617817428,0.4296703296703297,0.11430688123465937,0.2608695652173913,0.6486486486486487,1.6141268802450204,1.4706043956043957,0.5,1.0,0.35714285714285715,14
