target_points,horizon_bars,window,observations,baseline_probability,mean_model_probability,realized_probability,probability_lift_vs_baseline,top_decile_realized_probability,top_decile_lift_vs_baseline,mean_future_mfe
2.0,5,11,1085,0.8426773455377574,0.8548911,0.8562211981566821,0.013543852618924657,0.926605504587156,0.08392815904939854,11.386866359447005
2.0,5,12,1208,0.8950261780104712,0.87693423,0.8899006622516556,-0.005125515758815591,0.9090909090909091,0.01406473108043782,13.415769867549669
2.0,5,13,1287,0.8884308167997939,0.88708913,0.9028749028749029,0.014444086075109053,0.9844961240310077,0.09606530723121387,14.998251748251748
2.0,5,14,1246,0.9245700245700246,0.91324604,0.9341894060995185,0.009619381529493931,0.968,0.0434299754299754,20.309390048154093
2.0,5,15,1000,0.926605504587156,0.912503,0.931,0.0043944954128440905,0.97,0.043394495412844014,17.773
2.0,5,16,1131,0.9293608841902932,0.94049853,0.9336870026525199,0.004326118462226747,0.9292035398230089,-0.00015734436728431778,27.232758620689655
2.0,5,17,998,0.9010763710917479,0.91979295,0.9148296593186372,0.01375328822688937,0.92,0.018923628908252166,18.522795591182366
2.0,5,18,891,0.9161056447436562,0.91467774,0.9169472502805837,0.00084160553692747,0.9101123595505618,-0.005993285193094389,20.717171717171716
2.0,5,19,1090,0.9168940709501364,0.93328255,0.9357798165137615,0.0188857455636251,0.963302752293578,0.04640868134344156,24.921100917431193
2.0,5,20,1058,0.936002106926521,0.93596786,0.9527410207939508,0.016738913867429872,0.9528301886792453,0.016828081752724322,22.69470699432892
2.0,5,21,1144,0.9579608601111379,0.95153254,0.965034965034965,0.007074104923827096,0.9826086956521739,0.024647835541036,30.707386363636363
2.0,5,22,235,0.9295366795366795,0.92740476,0.9191489361702128,-0.01038774336646675,1.0,0.07046332046332049,18.895744680851063
2.0,10,1,1239,0.8851900393184797,0.90843356,0.903954802259887,0.018764762941407276,0.9758064516129032,0.09061641229442352,14.510694108151736
2.0,10,2,990,0.8897738951695786,0.90228,0.9,0.010226104830421412,0.9696969696969697,0.07992307452739111,13.273232323232323
2.0,10,3,1468,0.9387755102040817,0.9472982,0.944141689373297,0.005366179169215335,0.9455782312925171,0.006802721088435382,24.233310626703
2.0,10,4,1739,0.9332558139534883,0.9554242,0.9327199539965497,-0.0005358599569386113,0.9367816091954023,0.003525795241913987,23.688614146060953
2.0,10,5,1352,0.9262764632627646,0.9449907,0.9319526627218935,0.0056761994591288945,0.9705882352941176,0.04431177203135306,25.545673076923077
2.0,10,6,1369,0.9265048996733551,0.94110066,0.9284149013878744,0.0019100017145192716,0.9562043795620438,0.029699479888688707,20.95617238860482
2.0,10,7,1207,0.9047751249305941,0.9232921,0.9130074565037283,0.008232331573134188,0.9752066115702479,0.07043148663965382,16.964581607290803
2.0,10,8,1306,0.8994778067885117,0.9236327,0.9157733537519143,0.01629554696340252,0.9312977099236641,0.03181990313515237,15.921133231240429
2.0,10,9,1008,0.8991882691804137,0.9148789,0.9027777777777778,0.003589508597364066,0.9207920792079208,0.02160381002750711,15.951140873015873
2.0,10,10,897,0.9160942100098135,0.9095071,0.915273132664437,-0.0008210773453765086,0.9111111111111111,-0.004983098898702409,16.947045707915272
2.0,10,11,1085,0.8858695652173914,0.89301115,0.8949308755760369,0.009061310358645547,0.9174311926605505,0.03156162744315916,15.821889400921659
2.0,10,12,1208,0.9222513089005235,0.9046748,0.9097682119205298,-0.012483096979993724,0.9338842975206612,0.011632988620137619,17.98323675496689
2.0,10,13,1287,0.9214120072146355,0.9147956,0.933954933954934,0.012542926740298554,0.9844961240310077,0.06308411681637227,20.553418803418804
2.0,10,14,1246,0.9486486486486486,0.93651617,0.956661316211878,0.008012667563229381,0.976,0.02735135135135136,28.76304173354735
2.0,10,15,1000,0.9471127900701565,0.93821365,0.949,0.0018872099298434808,0.96,0.01288720992984349,24.3945
2.0,10,16,1131,0.9521864488226814,0.957888,0.9549071618037135,0.0027207129810320474,0.9823008849557522,0.030114436133070743,37.70092838196287
2.0,10,17,998,0.9341363403382881,0.94196117,0.9418837675350702,0.0077474271967821196,0.95,0.015863659661711882,25.330410821643287
2.0,10,18,891,0.9443293630243397,0.94217354,0.9506172839506173,0.0062879209262776126,0.9325842696629213,-0.01174509336141838,32.02861952861953
2.0,10,19,1090,0.9424460431654677,0.9558061,0.9577981651376147,0.015352121972147081,0.963302752293578,0.02085670912811033,32.93188073394495
2.0,10,20,1058,0.9554911772451936,0.95999116,0.9659735349716446,0.010482357726451008,0.9433962264150944,-0.01209495083009926,34.69588846880907
2.0,10,21,1144,0.9722155109929935,0.9685095,0.9755244755244755,0.003308964531481995,0.9826086956521739,0.010393184659180377,41.56184440559441
2.0,10,22,235,0.9546332046332047,0.9516434,0.948936170212766,-0.005697034420438674,1.0,0.04536679536679533,28.118085106382978
