side,window,hmm_state,zscore_threshold,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,mfe_ge_20,mfe_ge_50,mfe_ge_100,mae_ge_10,mae_ge_20,mae_ge_35
LONG,20,0,3.0,61,27.049180327868854,24.75,28.942622950819672,20.75,0.5901639344262295,0.11475409836065574,0.0,0.7049180327868853,0.5245901639344263,0.3114754098360656
LONG,21,0,3.0,22,71.29545454545455,48.25,54.84090909090909,31.375,0.8181818181818182,0.5,0.13636363636363635,0.7272727272727273,0.6363636363636364,0.45454545454545453
LONG,22,0,3.0,19,69.05263157894737,59.5,66.26315789473684,37.75,0.7894736842105263,0.5263157894736842,0.21052631578947367,0.7368421052631579,0.7368421052631579,0.5789473684210527
LONG,1,1,1.5,1775,13.857605633802818,9.5,12.37112676056338,8.5,0.19774647887323943,0.029295774647887324,0.009577464788732394,0.4433802816901408,0.18253521126760563,0.056901408450704224
LONG,2,1,1.5,1174,9.843057921635435,7.25,12.353918228279387,9.25,0.12862010221465076,0.008517887563884156,0.0,0.45229982964224874,0.17035775127768313,0.04088586030664395
LONG,3,1,1.5,726,12.041322314049587,9.0,16.75413223140496,12.25,0.15977961432506887,0.012396694214876033,0.0013774104683195593,0.5771349862258953,0.3044077134986226,0.08264462809917356
LONG,4,1,1.5,2628,34.11234779299848,27.0,41.455764840182646,29.25,0.6339421613394216,0.2286910197869102,0.028538812785388126,0.8188736681887366,0.6400304414003044,0.4280821917808219
LONG,5,1,1.5,2300,37.84315217391304,29.25,38.84641304347826,27.75,0.6447826086956522,0.2747826086956522,0.04782608695652174,0.7947826086956522,0.6130434782608696,0.40391304347826085
LONG,6,1,1.5,2178,43.34997704315886,31.625,44.019283746556475,33.75,0.660238751147842,0.33608815426997246,0.0844811753902663,0.8255280073461891,0.6744719926538109,0.49081726354453625
LONG,7,1,1.5,902,33.00221729490022,24.25,30.70288248337029,23.125,0.5709534368070953,0.22394678492239467,0.04878048780487805,0.7317073170731707,0.5487804878048781,0.3325942350332594
LONG,8,1,1.5,2118,41.014518413597735,29.75,45.21447119924457,32.75,0.6515580736543909,0.29084041548630785,0.07412653446647781,0.823890462700661,0.6827195467422096,0.47875354107648727
LONG,9,1,1.5,4167,55.36921046316295,37.75,55.4150467962563,43.75,0.6949844012479002,0.4050875929925606,0.14302855771538278,0.8752099832013439,0.7640988720902328,0.5877129829613631
LONG,10,1,1.5,1922,27.326222684703435,20.0,30.20993756503642,21.0,0.5010405827263268,0.14099895941727367,0.02445369406867846,0.7164412070759626,0.5234131113423517,0.30332986472424556
LONG,11,1,1.5,138,19.82608695652174,14.75,33.07608695652174,13.5,0.37681159420289856,0.057971014492753624,0.036231884057971016,0.5797101449275363,0.391304347826087,0.2536231884057971
LONG,12,1,1.5,1644,39.399787104622874,30.5,37.565237226277375,27.75,0.6405109489051095,0.27858880778588807,0.06204379562043796,0.7944038929440389,0.6125304136253041,0.402676399026764
LONG,13,1,1.5,1321,35.26854655563967,25.75,33.65215745647237,26.5,0.5957607872823618,0.23694171082513246,0.052233156699470096,0.7759273277819834,0.595003785011355,0.38607115821347465
LONG,14,1,1.5,2490,26.983032128514058,21.0,24.119979919678716,18.0,0.5261044176706827,0.12730923694779117,0.01566265060240964,0.7052208835341366,0.45903614457831327,0.22971887550200804
LONG,15,1,1.5,516,40.98837209302326,31.625,51.242248062015506,37.5,0.6453488372093024,0.3372093023255814,0.06589147286821706,0.8197674418604651,0.6996124031007752,0.5310077519379846
LONG,16,1,1.5,1839,51.768080478520936,35.0,54.75489396411093,38.5,0.7025557368134856,0.36324089178901575,0.1212615551930397,0.8194671016856987,0.6982055464926591,0.5312669929309407
LONG,17,1,1.5,1540,49.2612012987013,38.375,56.75178571428572,37.5,0.7396103896103896,0.37597402597402596,0.10194805194805195,0.837012987012987,0.7084415584415584,0.5298701298701298
LONG,18,1,1.5,542,29.148985239852397,19.375,33.730627306273064,21.5,0.48523985239852396,0.13837638376383765,0.027675276752767528,0.7583025830258303,0.522140221402214,0.32287822878228783
LONG,19,1,1.5,1298,54.411209553158706,43.875,50.60477657935285,30.5,0.7696456086286595,0.4399075500770416,0.13559322033898305,0.8158705701078582,0.6302003081664098,0.4522342064714946
LONG,20,1,1.5,1941,43.056285419886656,31.75,48.66112828438949,29.75,0.6651210716125708,0.3091190108191654,0.08140133951571354,0.7892838742916023,0.616692426584235,0.45079855744461617
LONG,21,1,1.5,1065,33.06291079812207,20.75,38.32206572769953,23.0,0.5117370892018779,0.1511737089201878,0.048826291079812206,0.7389671361502348,0.5539906103286385,0.3427230046948357
LONG,22,1,1.5,1023,37.69599217986315,25.75,39.855571847507335,24.75,0.6217008797653959,0.2179863147605083,0.04887585532746823,0.7898338220918866,0.5904203323558163,0.3421309872922776
LONG,1,1,2.0,563,15.004884547069272,9.75,14.033303730017762,9.5,0.23268206039076378,0.03907637655417407,0.014209591474245116,0.49023090586145646,0.23623445825932504,0.07815275310834814
LONG,2,1,2.0,343,10.14067055393586,7.25,12.287172011661808,9.5,0.13411078717201166,0.011661807580174927,0.0,0.47230320699708456,0.17201166180758018,0.043731778425655975
LONG,3,1,2.0,234,14.277777777777779,10.375,15.774572649572649,12.375,0.20512820512820512,0.029914529914529916,0.0,0.6068376068376068,0.2905982905982906,0.05555555555555555
LONG,4,1,2.0,1348,32.175074183976264,25.0,41.622589020771514,29.75,0.607566765578635,0.20029673590504452,0.026706231454005934,0.8189910979228486,0.6476261127596439,0.4406528189910979
LONG,5,1,2.0,1172,35.867747440273035,28.0,38.766638225255974,28.625,0.6271331058020477,0.2508532423208191,0.043515358361774746,0.8046075085324232,0.6151877133105802,0.4138225255972696
LONG,6,1,2.0,1073,41.72227399813607,30.0,42.7854147250699,32.0,0.6439888164026095,0.3196644920782852,0.0754892823858341,0.8145386766076421,0.6551724137931034,0.46971109040074555
LONG,7,1,2.0,506,32.46393280632411,23.875,28.773715415019762,21.25,0.5652173913043478,0.23122529644268774,0.037549407114624504,0.7114624505928854,0.5217391304347826,0.30237154150197626
LONG,8,1,2.0,1042,41.36060460652591,29.0,44.048704414587334,30.625,0.6420345489443378,0.28598848368522073,0.0873320537428023,0.8186180422264875,0.6775431861804223,0.45681381957773515
LONG,9,1,2.0,1735,56.31757925072046,38.5,55.92449567723343,42.75,0.6824207492795389,0.42247838616714695,0.16080691642651296,0.8622478386167147,0.7510086455331412,0.5804034582132565
LONG,10,1,2.0,693,29.965728715728716,23.25,30.304473304473305,21.0,0.5743145743145743,0.16883116883116883,0.03463203463203463,0.7229437229437229,0.5353535353535354,0.31601731601731603
LONG,11,1,2.0,74,23.216216216216218,19.25,32.888513513513516,14.25,0.4864864864864865,0.05405405405405406,0.05405405405405406,0.6216216216216216,0.3783783783783784,0.28378378378378377
LONG,12,1,2.0,830,40.913253012048195,31.5,35.53704819277108,27.875,0.6602409638554216,0.2746987951807229,0.07590361445783132,0.7927710843373494,0.6156626506024097,0.3963855421686747
LONG,13,1,2.0,721,32.392857142857146,25.5,34.40984743411928,27.25,0.5839112343966713,0.20527045769764216,0.030513176144244106,0.7947295423023578,0.6116504854368932,0.3855755894590846
LONG,14,1,2.0,816,27.614276960784313,21.25,25.79626225490196,19.5,0.5294117647058824,0.1323529411764706,0.011029411764705883,0.7340686274509803,0.4889705882352941,0.2708333333333333
LONG,15,1,2.0,155,38.041935483870965,26.5,62.74032258064516,47.0,0.6129032258064516,0.2967741935483871,0.04516129032258064,0.8838709677419355,0.7806451612903226,0.6193548387096774
LONG,16,1,2.0,1004,49.35283864541832,33.125,56.63446215139442,37.75,0.703187250996016,0.3256972111553785,0.10059760956175298,0.8247011952191236,0.6882470119521913,0.5249003984063745
LONG,17,1,2.0,816,47.181372549019606,37.75,54.80361519607843,36.5,0.7536764705882353,0.3541666666666667,0.0857843137254902,0.8259803921568627,0.6948529411764706,0.5171568627450981
LONG,18,1,2.0,284,30.891725352112676,20.75,37.646126760563384,23.25,0.5176056338028169,0.15845070422535212,0.028169014084507043,0.778169014084507,0.5633802816901409,0.352112676056338
LONG,19,1,2.0,729,52.9039780521262,43.25,51.00308641975309,31.5,0.7832647462277091,0.4444444444444444,0.11934156378600823,0.8175582990397805,0.6364883401920439,0.4609053497942387
LONG,20,1,2.0,637,44.32888540031397,33.0,52.40541601255887,35.5,0.6781789638932496,0.33751962323390894,0.08948194662480377,0.8241758241758241,0.6577708006279435,0.5039246467817896
LONG,21,1,2.0,533,36.09146341463415,22.5,38.56707317073171,22.75,0.549718574108818,0.1669793621013133,0.0600375234521576,0.7448405253283302,0.5534709193245778,0.32645403377110693
LONG,22,1,2.0,509,43.08595284872299,27.5,43.770628683693516,24.75,0.6522593320235757,0.25343811394891946,0.06483300589390963,0.7760314341846758,0.5618860510805501,0.3516699410609037
LONG,1,1,2.5,117,17.478632478632477,12.0,14.493589743589743,9.5,0.3504273504273504,0.05982905982905983,0.008547008547008548,0.4700854700854701,0.24786324786324787,0.08547008547008547
LONG,2,1,2.5,57,11.596491228070175,8.0,12.267543859649123,9.75,0.14035087719298245,0.017543859649122806,0.0,0.49122807017543857,0.15789473684210525,0.05263157894736842
