side,zscore_threshold,stop_points,target_points,horizon_bars,windows,total_trades,total_points,mean_window_points,median_window_points,mean_win_rate,median_win_rate,mean_profit_factor,median_profit_factor,mean_mfe,mean_mae,mean_holding_bars,positive_window_ratio
LONG,1.5,5.0,50.0,10,22,114102,16658.25,757.1931818181819,941.375,0.029375617115916856,0.02611868666443834,1.0436712775077515,1.0444083845727294,20.42134339159185,20.956622405485675,4.033284472351948,0.8181818181818182
LONG,1.5,5.0,50.0,20,22,114102,28417.5,1291.7045454545455,1736.875,0.048120850315665514,0.047736812221649785,1.0645175717603927,1.0760819247109628,28.673025001179088,29.76039457321167,5.7574620543166555,0.7727272727272727
LONG,1.5,5.0,50.0,30,22,114102,40508.75,1841.3068181818182,1978.25,0.059456962451370644,0.06411372259394812,1.0885213292420277,1.0894575972547726,34.88624104586515,36.62383322282271,6.9344809535890795,0.8181818181818182
LONG,1.5,5.0,50.0,60,22,114102,48962.75,2225.5795454545455,2468.5,0.07702967824810535,0.07994521873358852,1.1029393975839392,1.10723709756643,49.06046832691539,51.364175189625136,9.139038228170985,0.8181818181818182
LONG,1.5,5.0,50.0,120,22,114085,55721.5,2532.7954545454545,2803.125,0.09067489841812383,0.09506592781630188,1.114782225947769,1.1249514765277628,73.32765926014294,75.6189563924616,11.145698245073563,0.8181818181818182
LONG,1.5,5.0,75.0,10,22,114102,27367.0,1243.9545454545455,1576.625,0.011538133518065076,0.009526329376650117,1.067528906903435,1.0754722792586746,20.42134339159185,20.956622405485675,4.112836776142259,0.8181818181818182
LONG,1.5,5.0,75.0,20,22,114102,47042.25,2138.284090909091,2713.5,0.02190223362451875,0.018421837407721072,1.1034568875979502,1.1152342513864777,28.673025001179088,29.76039457321167,6.025947534065413,0.7727272727272727
LONG,1.5,5.0,75.0,30,22,114102,63187.0,2872.1363636363635,2880.625,0.028771680693070966,0.02725100470278411,1.1347480513639834,1.127251529117689,34.88624104586515,36.62383322282271,7.428370698025767,0.8636363636363636
LONG,1.5,5.0,75.0,60,22,114102,76269.0,3466.7727272727275,3031.0,0.04251187899994856,0.04459978978651564,1.1562602897741472,1.1268078381449147,49.06046832691539,51.364175189625136,10.33987251970426,0.8181818181818182
LONG,1.5,5.0,75.0,120,22,114085,90046.0,4093.0,4234.625,0.05686095906874655,0.05818764431819528,1.1802185925743425,1.189865663374202,73.32765926014294,75.6189563924616,13.486878042894011,0.8181818181818182
LONG,1.5,5.0,100.0,10,22,114102,35210.5,1600.4772727272727,2050.25,0.006153667665014448,0.004891957905671098,1.0846103738292676,1.0993826164613227,20.42134339159185,20.956622405485675,4.135555326379822,0.8181818181818182
LONG,1.5,5.0,100.0,20,22,114102,57428.0,2610.3636363636365,3064.375,0.011837136403819205,0.009817111760038293,1.1247059414773515,1.1390215095713225,28.673025001179088,29.76039457321167,6.117910318752126,0.8181818181818182
LONG,1.5,5.0,100.0,30,22,114102,75347.5,3424.8863636363635,3456.625,0.015917754421937543,0.013969442597250734,1.1590568093792697,1.1510494070356478,34.88624104586515,36.62383322282271,7.618209986363925,0.9090909090909091
LONG,1.5,5.0,100.0,60,22,114102,94400.25,4290.920454545455,4132.25,0.025783187707733767,0.025011156856552173,1.1907577878462032,1.1725772283312625,49.06046832691539,51.364175189625136,10.884855400703422,0.8636363636363636
LONG,1.5,5.0,100.0,120,22,114085,114212.5,5191.477272727273,5000.375,0.03780316863830458,0.042832927845132644,1.2254439075873815,1.2318176232076143,73.32765926014294,75.6189563924616,14.762903629765775,0.8636363636363636
LONG,1.5,10.0,5.0,10,22,114102,-69811.25,-3173.2386363636365,-2002.875,0.5911601821350435,0.6112216632153509,0.8560584684980387,0.8865783820037827,20.42134339159185,20.956622405485675,2.4632493726343743,0.13636363636363635
LONG,1.5,10.0,5.0,20,22,114102,-69505.5,-3159.340909090909,-2009.125,0.6114262604660163,0.6268848953808981,0.8571295251775961,0.888636113575467,28.673025001179088,29.76039457321167,2.8800302153209065,0.13636363636363635
LONG,1.5,10.0,5.0,30,22,114102,-69539.25,-3160.875,-2008.75,0.6187166602162623,0.6317750882184912,0.8573634270348115,0.8895290517097352,34.88624104586515,36.62383322282271,3.0863358158802825,0.09090909090909091
LONG,1.5,10.0,5.0,60,22,114102,-69495.25,-3158.875,-1995.375,0.6249477189144955,0.6385318705445323,0.8576790485607897,0.8907357958821289,49.06046832691539,51.364175189625136,3.3293073950660403,0.13636363636363635
LONG,1.5,10.0,5.0,120,22,114085,-69549.0,-3161.318181818182,-1981.25,0.6267362016697487,0.6406191848139858,0.8574768687990377,0.8914854837051158,73.32765926014294,75.6189563924616,3.44202752078172,0.09090909090909091
LONG,1.5,10.0,10.0,10,22,114102,-23613.75,-1073.3522727272727,-180.625,0.4212262692449485,0.4476435712774255,0.9668683434731271,0.9911058714599452,20.42134339159185,20.956622405485675,3.6123826278035924,0.4090909090909091
LONG,1.5,10.0,10.0,20,22,114102,-23928.5,-1087.659090909091,-223.375,0.4569987558664463,0.4793563995542288,0.9661976036547145,0.9903363149156754,28.673025001179088,29.76039457321167,4.535206639457594,0.45454545454545453
LONG,1.5,10.0,10.0,30,22,114102,-23334.75,-1060.6704545454545,-284.25,0.4702854153319219,0.4874659332523358,0.9672576828533489,0.9874779572069381,34.88624104586515,36.62383322282271,5.031465299004311,0.45454545454545453
LONG,1.5,10.0,10.0,60,22,114102,-23845.5,-1083.8863636363637,-551.125,0.48332405787315175,0.4920426402696449,0.9663106712129824,0.9780432711072085,49.06046832691539,51.364175189625136,5.726319040027248,0.36363636363636365
LONG,1.5,10.0,10.0,120,22,114085,-23636.0,-1074.3636363636363,-558.875,0.4886683508235805,0.49323020631621883,0.966734384745044,0.9776236406642903,73.32765926014294,75.6189563924616,6.121086918732084,0.36363636363636365
LONG,1.5,10.0,15.0,10,22,114102,-11871.25,-539.6022727272727,-77.25,0.3029168542673972,0.32413479052823313,0.9891189265490642,0.9960950382571518,20.42134339159185,20.956622405485675,4.3832151442158676,0.45454545454545453
LONG,1.5,10.0,15.0,20,22,114102,-11348.5,-515.8409090909091,24.125,0.34881814045913223,0.37241365454196285,0.9887603714346284,1.0009850758791368,28.673025001179088,29.76039457321167,5.766484226081059,0.5454545454545454
LONG,1.5,10.0,15.0,30,22,114102,-8776.75,-398.9431818181818,102.125,0.36594897344298266,0.3840604146635431,0.992589175704719,1.0053438690031808,34.88624104586515,36.62383322282271,6.545140614183762,0.5
LONG,1.5,10.0,15.0,60,22,114102,-8055.25,-366.14772727272725,-268.0,0.3858504900744897,0.39438374662883824,0.9932938715626878,0.9916012364554201,49.06046832691539,51.364175189625136,7.734489185087318,0.45454545454545453
LONG,1.5,10.0,15.0,120,22,114085,-7363.0,-334.6818181818182,-345.0,0.39435637236184584,0.394948399367404,0.9943006028229678,0.9892081936220304,73.32765926014294,75.6189563924616,8.485576837008134,0.45454545454545453
LONG,1.5,10.0,20.0,10,22,114102,-5333.5,-242.4318181818182,166.125,0.22150694162819728,0.23981185519353165,1.000287931788708,1.0055872644094452,20.42134339159185,20.956622405485675,4.893046201335103,0.5909090909090909
LONG,1.5,10.0,20.0,20,22,114102,-2551.5,-115.97727272727273,113.625,0.2726200053860262,0.2927165185902797,1.0024991292882184,1.0034052834842688,28.673025001179088,29.76039457321167,6.687302335251192,0.5454545454545454
LONG,1.5,10.0,20.0,30,22,114102,2585.5,117.52272727272727,504.125,0.2937493138964355,0.31303591875452674,1.0095179245269945,1.0152013046512038,34.88624104586515,36.62383322282271,7.735386933021498,0.5909090909090909
LONG,1.5,10.0,20.0,60,22,114102,5457.0,248.04545454545453,413.0,0.31798989000461086,0.3301695346218986,1.0123545472286706,1.012016204154448,49.06046832691539,51.364175189625136,9.421516339997796,0.5909090909090909
LONG,1.5,10.0,20.0,120,22,114085,8792.5,399.65909090909093,647.375,0.33053816799249813,0.33263093355102946,1.0167408021251334,1.018322990113493,73.32765926014294,75.6189563924616,10.60074311975545,0.6363636363636364
LONG,1.5,10.0,25.0,10,22,114102,-4746.75,-215.76136363636363,339.75,0.16279414756088975,0.17308923879928728,1.0019058653451998,1.0124893532852997,20.42134339159185,20.956622405485675,5.231392637043966,0.6363636363636364
LONG,1.5,10.0,25.0,20,22,114102,-1944.0,-88.36363636363636,305.5,0.21427441535257055,0.23277881179998186,1.0034323836710382,1.0107047144713595,28.673025001179088,29.76039457321167,7.388356070087983,0.5454545454545454
LONG,1.5,10.0,25.0,30,22,114102,4362.75,198.3068181818182,461.25,0.2374854199282639,0.2523075651556964,1.0115362668777779,1.0175713316895116,34.88624104586515,36.62383322282271,8.701756260138497,0.6363636363636364
LONG,1.5,10.0,25.0,60,22,114102,8764.25,398.375,785.375,0.26604094704782044,0.27745819444051834,1.0163246845146041,1.0224205199979397,49.06046832691539,51.364175189625136,10.864992240868212,0.6363636363636364
LONG,1.5,10.0,25.0,120,22,114085,12415.25,564.3295454545455,1029.75,0.2810643263319767,0.285041226947058,1.0206763357341453,1.0285269655584877,73.32765926014294,75.6189563924616,12.500781840800755,0.6818181818181818
LONG,1.5,10.0,35.0,10,22,114102,3485.75,158.4431818181818,579.5,0.0936148699473856,0.09307611459000292,1.014291894411992,1.0244979329235069,20.42134339159185,20.956622405485675,5.608279934883028,0.6818181818181818
LONG,1.5,10.0,35.0,20,22,114102,4738.75,215.39772727272728,534.75,0.1370604202046292,0.14674180671956882,1.0123524955633956,1.0179743027713841,28.673025001179088,29.76039457321167,8.285365545030912,0.5454545454545454
LONG,1.5,10.0,35.0,30,22,114102,16430.5,746.8409090909091,1253.375,0.16128825734928806,0.17440042889015697,1.0266620255371792,1.0342386406585766,34.88624104586515,36.62383322282271,10.04110444466376,0.5909090909090909
LONG,1.5,10.0,35.0,60,22,114102,24765.0,1125.6818181818182,1345.0,0.19500430506228808,0.2053443687798081,1.0349980248109678,1.0414010190686755,49.06046832691539,51.364175189625136,13.166653167696984,0.6818181818181818
LONG,1.5,10.0,35.0,120,22,114085,32614.0,1482.4545454545455,1965.0,0.21595939768642694,0.22187648352803935,1.0435186879327334,1.0500722943666947,73.32765926014294,75.6189563924616,15.752082822494321,0.6818181818181818
LONG,1.5,10.0,50.0,10,22,114102,14862.5,675.5681818181819,1131.0,0.04590816744228041,0.04074438316404497,1.0307282049617923,1.041996776952129,20.42134339159185,20.956622405485675,5.841650017763721,0.6818181818181818
LONG,1.5,10.0,50.0,20,22,114102,27464.5,1248.3863636363637,1408.625,0.07742560039157582,0.0748282963118235,1.0417031873846654,1.0450616962284065,28.673025001179088,29.76039457321167,8.939006724047761,0.7272727272727273
LONG,1.5,10.0,50.0,30,22,114102,45406.25,2063.9204545454545,1955.0,0.09792166082501094,0.10144554808403863,1.0618380005073786,1.0516463374553486,34.88624104586515,36.62383322282271,11.137504850570881,0.7727272727272727
LONG,1.5,10.0,50.0,60,22,114102,60943.25,2770.1477272727275,2187.625,0.13096530632988626,0.14223751002079824,1.075345416176298,1.0724777359735007,49.06046832691539,51.364175189625136,15.398592310390962,0.8181818181818182
LONG,1.5,10.0,50.0,120,22,114085,74302.0,3377.3636363636365,3273.375,0.1581411382481339,0.1653354092204639,1.0879115389173828,1.0798378069357808,73.32765926014294,75.6189563924616,19.419869306133556,0.8181818181818182
LONG,1.5,10.0,75.0,10,22,114102,27058.25,1229.9204545454545,1774.125,0.017965882567217043,0.013676926924509447,1.0478509344579978,1.0620366136797674,20.42134339159185,20.956622405485675,5.964569316273096,0.7727272727272727
LONG,1.5,10.0,75.0,20,22,114102,51266.25,2330.284090909091,2684.25,0.03501524011711464,0.029327746935221187,1.0711429186675296,1.074783147463814,28.673025001179088,29.76039457321167,9.366817048367379,0.7272727272727273
LONG,1.5,10.0,75.0,30,22,114102,74477.75,3385.3522727272725,3672.0,0.04683906543857966,0.041788074864042936,1.0958773703430358,1.0933951454201183,34.88624104586515,36.62383322282271,11.943330859807297,0.8636363636363636
LONG,1.5,10.0,75.0,60,22,114102,98483.0,4476.5,3851.125,0.07198889018439199,0.07322657666209426,1.1162342939347456,1.0968428437654354,49.06046832691539,51.364175189625136,17.433721129520464,0.8636363636363636
LONG,1.5,10.0,75.0,120,22,114085,129999.25,5909.056818181818,5928.25,0.10017731679151524,0.10620689982675766,1.1456347013738373,1.1443487520982347,73.32765926014294,75.6189563924616,23.502000995742364,0.9090909090909091
LONG,1.5,10.0,100.0,10,22,114102,37846.0,1720.2727272727273,2253.875,0.009193297796535698,0.005898619283700035,1.0622318371919681,1.0755653531896274,20.42134339159185,20.956622405485675,6.000616464603499,0.7727272727272727
LONG,1.5,10.0,100.0,20,22,114102,68601.5,3118.25,3446.0,0.018939597591517688,0.014198899128097933,1.0920011140236616,1.0992517949480596,28.673025001179088,29.76039457321167,9.514994099693581,0.8181818181818182
LONG,1.5,10.0,100.0,30,22,114102,94212.0,4282.363636363636,4400.875,0.025941345765728194,0.021186392380602045,1.1186919438509284,1.1181469255606145,34.88624104586515,36.62383322282271,12.251492080843086,0.8636363636363636
LONG,1.5,10.0,100.0,60,22,114102,127093.75,5776.988636363636,4971.375,0.043162934663628576,0.040402373509319085,1.1465338343474867,1.1182397022276573,49.06046832691539,51.364175189625136,18.3508708490706,0.9090909090909091
LONG,1.5,10.0,100.0,120,22,114085,171660.75,7802.761363636364,6565.625,0.06664191409752797,0.07150826880679553,1.1876933916282828,1.1759994927431743,73.32765926014294,75.6189563924616,25.76070991958277,0.9090909090909091
LONG,1.5,15.0,5.0,10,22,114102,-43173.0,-1962.409090909091,-769.125,0.6782079099520555,0.7012253908196768,0.9238273316455441,0.9592879386624286,20.42134339159185,20.956622405485675,2.8768563382508883,0.3181818181818182
LONG,1.5,15.0,5.0,20,22,114102,-43264.0,-1966.5454545454545,-1041.875,0.706981701622598,0.7266254865858797,0.9237986587197774,0.9466847088574606,28.673025001179088,29.76039457321167,3.4811301935227674,0.18181818181818182
LONG,1.5,15.0,5.0,30,22,114102,-44180.0,-2008.1818181818182,-1066.375,0.7171637690176962,0.7331590875838596,0.9222261614294102,0.9456871060618259,34.88624104586515,36.62383322282271,3.7976406068830286,0.22727272727272727
LONG,1.5,15.0,5.0,60,22,114102,-44114.75,-2005.215909090909,-1076.625,0.7270383446225204,0.7361481980635437,0.9224633603055381,0.9459994171149837,49.06046832691539,51.364175189625136,4.228419937622579,0.13636363636363635
LONG,1.5,15.0,5.0,120,22,114085,-44633.0,-2028.7727272727273,-1085.0,0.7304252432930999,0.7383431581782066,0.9212902694539212,0.9456719375127496,73.32765926014294,75.6189563924616,4.456663965523541,0.13636363636363635
LONG,1.5,15.0,10.0,10,22,114102,-8765.5,-398.4318181818182,407.5,0.49427009431612645,0.5306468533608247,0.9961344341017846,1.015059272293871,20.42134339159185,20.956622405485675,4.301801946228355,0.6818181818181818
LONG,1.5,15.0,10.0,20,22,114102,-10525.75,-478.4431818181818,206.25,0.5450347155539478,0.5734465788260714,0.9929979824842778,1.0078363351111976,28.673025001179088,29.76039457321167,5.618833114296774,0.6363636363636364
LONG,1.5,15.0,10.0,30,22,114102,-11195.25,-508.875,353.25,0.564360890632007,0.5878560045775436,0.9917026810559393,1.0128510828422947,34.88624104586515,36.62383322282271,6.353736886307604,0.5909090909090909
LONG,1.5,15.0,10.0,60,22,114102,-12048.5,-547.6590909090909,181.875,0.5839879810635574,0.5999544034710782,0.9901176011811837,1.0058120311940255,49.06046832691539,51.364175189625136,7.47264125067764,0.5454545454545454
LONG,1.5,15.0,10.0,120,22,114085,-13276.75,-603.4886363636364,112.5,0.5926443978855569,0.6008173470359839,0.9884953501615933,1.0035719905586151,73.32765926014294,75.6189563924616,8.171117094788428,0.5454545454545454
LONG,1.5,15.0,15.0,10,22,114102,-1120.25,-50.92045454545455,441.625,0.3609917544538688,0.3830761153847385,1.0074961424586968,1.0198566413266899,20.42134339159185,20.956622405485675,5.242688308957291,0.6818181818181818
LONG,1.5,15.0,15.0,20,22,114102,-1877.0,-85.31818181818181,453.25,0.42537331160662223,0.45512954268822814,1.0047696744439958,1.0124131384174295,28.673025001179088,29.76039457321167,7.207073172824846,0.5909090909090909
LONG,1.5,15.0,15.0,30,22,114102,-905.0,-41.13636363636363,464.625,0.45108324859883236,0.47961054302734374,1.0052338630491695,1.0151424106439664,34.88624104586515,36.62383322282271,8.35456742974628,0.5909090909090909
LONG,1.5,15.0,15.0,60,22,114102,-117.0,-5.318181818181818,169.375,0.4805633645777292,0.49659511843980686,1.0051704401900798,1.0044531717353522,49.06046832691539,51.364175189625136,10.184429813192462,0.5454545454545454
LONG,1.5,15.0,15.0,120,22,114085,975.0,44.31818181818182,12.375,0.49440695198373646,0.49913132323121057,1.0064320422572761,1.0003817072055303,73.32765926014294,75.6189563924616,11.429557809785853,0.5
LONG,1.5,15.0,20.0,10,22,114102,1396.25,63.46590909090909,460.5,0.26582168547045365,0.2793444543682234,1.011389893767021,1.0150119160505384,20.42134339159185,20.956622405485675,5.8582210835688695,0.7272727272727273
LONG,1.5,15.0,20.0,20,22,114102,1629.5,74.06818181818181,246.25,0.3355555950523488,0.3646775599912485,1.00985776489055,1.0059214596301853,28.673025001179088,29.76039457321167,8.38533223749641,0.6363636363636364
LONG,1.5,15.0,20.0,30,22,114102,4109.0,186.77272727272728,575.25,0.36628191784902236,0.3948765922376235,1.0118028787893767,1.0137399937099474,34.88624104586515,36.62383322282271,9.923422701910285,0.5909090909090909
LONG,1.5,15.0,20.0,60,22,114102,7343.5,333.79545454545456,250.875,0.4029409579553476,0.4201043186303439,1.0138523824320997,1.0057316658662336,49.06046832691539,51.364175189625136,12.475980070441107,0.5909090909090909
LONG,1.5,15.0,20.0,120,22,114085,11417.25,518.9659090909091,799.875,0.4223435322006464,0.42737090521714727,1.0178519923627891,1.0199182742697386,73.32765926014294,75.6189563924616,14.330617027875435,0.5909090909090909
LONG,1.5,15.0,25.0,10,22,114102,-362.5,-16.477272727272727,604.875,0.19628542500294097,0.20293900411540397,1.0099252402142498,1.0233155902881268,20.42134339159185,20.956622405485675,6.266954783575887,0.6818181818181818
LONG,1.5,15.0,25.0,20,22,114102,529.25,24.056818181818183,178.875,0.266202268564458,0.2873353354794116,1.008785806032173,1.0044724770725157,28.673025001179088,29.76039457321167,9.274392118603153,0.5454545454545454
LONG,1.5,15.0,25.0,30,22,114102,3811.0,173.22727272727272,533.875,0.29918335763054976,0.3269037912257049,1.0112237327670965,1.01636198462578,34.88624104586515,36.62383322282271,11.181260333843605,0.6363636363636364
LONG,1.5,15.0,25.0,60,22,114102,9899.25,449.96590909090907,554.25,0.34179363565975707,0.3599093286014827,1.0161411639197755,1.0118791769305093,49.06046832691539,51.364175189625136,14.445264070680738,0.7272727272727273
LONG,1.5,15.0,25.0,120,22,114085,16301.75,740.9886363636364,1046.5,0.36590314342720004,0.3752059409632449,1.021692823863017,1.0217815306780484,73.32765926014294,75.6189563924616,16.97559022192206,0.6818181818181818
LONG,1.5,15.0,35.0,10,22,114102,8231.25,374.14772727272725,881.625,0.11389984334150577,0.10952447265926765,1.0211979123412849,1.030721847148755,20.42134339159185,20.956622405485675,6.715643665990398,0.7727272727272727
LONG,1.5,15.0,35.0,20,22,114102,7900.5,359.1136363636364,487.125,0.17222002854652543,0.17894843943182553,1.0169308760977271,1.0151968585657098,28.673025001179088,29.76039457321167,10.396806874393043,0.5909090909090909
LONG,1.5,15.0,35.0,30,22,114102,16430.0,746.8181818181819,958.5,0.2055814155302711,0.22340327034789503,1.0241361110253204,1.021727808808902,34.88624104586515,36.62383322282271,12.901273337513459,0.6818181818181818
LONG,1.5,15.0,35.0,60,22,114102,28713.0,1305.1363636363637,1797.75,0.2547074589432938,0.2729845826424844,1.033132545173254,1.038520251111139,49.06046832691539,51.364175189625136,17.5147905382015,0.7272727272727273
LONG,1.5,15.0,35.0,120,22,114085,41816.0,1900.7272727272727,2716.75,0.287037788900218,0.29947472224222466,1.0432952630843195,1.053039535490377,73.32765926014294,75.6189563924616,21.442727024366214,0.7727272727272727
LONG,1.5,15.0,50.0,10,22,114102,19423.25,882.875,1424.75,0.05621579333044679,0.04868029745727173,1.0351101973296055,1.0433891366724235,20.42134339159185,20.956622405485675,6.997034371038857,0.7272727272727273
LONG,1.5,15.0,50.0,20,22,114102,31350.25,1425.0113636363637,1767.75,0.09715692642577571,0.0908488358987377,1.0413332687738155,1.0456729933932603,28.673025001179088,29.76039457321167,11.219327670989058,0.6363636363636364
LONG,1.5,15.0,50.0,30,22,114102,45954.25,2088.8295454545455,2572.625,0.1247507442881151,0.12839717064088738,1.0522439134860682,1.053676308071137,34.88624104586515,36.62383322282271,14.313362867850037,0.7727272727272727
LONG,1.5,15.0,50.0,60,22,114102,67850.0,3084.090909090909,2792.25,0.17158105541787436,0.18502831694649924,1.0659851931017728,1.0656541209105153,49.06046832691539,51.364175189625136,20.492332636701505,0.7272727272727273
LONG,1.5,15.0,50.0,120,22,114085,88911.75,4041.443181818182,4315.375,0.21196637774121865,0.2249407423622823,1.0800097361005518,1.079002574664333,73.32765926014294,75.6189563924616,26.500631335850628,0.7272727272727273
