window,hmm_state,side,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,prob_mfe_ge_20,prob_mae_ge_20
6,2,SHORT,5996,15.946506004002668,11.0,16.284814876584388,12.5,0.27368245496998,0.29436290860573716
7,0,LONG,18308,19.934946471487873,14.25,19.08481265020756,12.875,0.3635022940790911,0.34968319860170416
7,0,SHORT,18308,19.08481265020756,12.875,19.934946471487873,14.25,0.34968319860170416,0.3635022940790911
7,1,LONG,4245,31.049764428739692,22.0,29.934628975265017,23.0,0.5371024734982333,0.5472320376914016
7,1,SHORT,4245,29.934628975265017,23.0,31.049764428739692,22.0,0.5472320376914016,0.5371024734982333
7,2,LONG,14981,13.234396902743475,9.25,13.667795874774715,9.0,0.18223082571256927,0.19424604499032108
7,2,SHORT,14981,13.667795874774715,9.0,13.234396902743475,9.25,0.19424604499032108,0.18223082571256927
8,0,LONG,20255,24.845606023204148,18.25,25.19860528264626,16.75,0.4677857319180449,0.43860775117254996
8,0,SHORT,20255,25.19860528264626,16.75,24.845606023204148,18.25,0.43860775117254996,0.4677857319180449
8,1,LONG,11744,40.387346730245234,29.25,43.084617677111716,29.75,0.6297683923705722,0.6181880108991825
8,1,SHORT,11744,43.084617677111716,29.75,40.387346730245234,29.25,0.6181880108991825,0.6297683923705722
8,2,LONG,5535,17.858039747064137,12.75,21.10040650406504,12.5,0.3008130081300813,0.3320686540198735
8,2,SHORT,5535,21.10040650406504,12.5,17.858039747064137,12.75,0.3320686540198735,0.3008130081300813
9,0,LONG,11092,33.69412639740354,25.75,36.40215921384782,27.0,0.6002524341868013,0.6090876307248467
9,0,SHORT,11092,36.40215921384782,27.0,33.69412639740354,25.75,0.6090876307248467,0.6002524341868013
9,1,LONG,26083,53.383458574550474,38.25,55.69748495188437,42.0,0.6952037725721735,0.7259901084997892
9,1,SHORT,26083,55.69748495188437,42.0,53.383458574550474,38.25,0.7259901084997892,0.6952037725721735
9,2,LONG,359,28.71309192200557,16.0,41.11629526462396,19.25,0.40668523676880225,0.4958217270194986
9,2,SHORT,359,41.11629526462396,19.25,28.71309192200557,16.0,0.4958217270194986,0.40668523676880225
10,0,LONG,20103,43.10119136447297,31.25,42.83097050191514,30.25,0.6437845097746605,0.6285629010595434
10,0,SHORT,20103,42.83097050191514,30.25,43.10119136447297,31.25,0.6285629010595434,0.6437845097746605
10,1,LONG,16453,26.538473226767156,19.75,28.365419680301464,19.25,0.49717376770193883,0.49115662797058285
10,1,SHORT,16453,28.365419680301464,19.25,26.538473226767156,19.75,0.49115662797058285,0.49717376770193883
10,2,LONG,978,29.26840490797546,15.75,26.845858895705522,13.0,0.3834355828220859,0.3486707566462168
10,2,SHORT,978,26.845858895705522,13.0,29.26840490797546,15.75,0.3486707566462168,0.3834355828220859
11,0,LONG,17333,25.539202676974558,19.0,28.037226677436106,19.75,0.48006692436393006,0.4946633589107483
11,0,SHORT,17333,28.037226677436106,19.75,25.539202676974558,19.0,0.4946633589107483,0.48006692436393006
11,1,LONG,700,28.8925,11.0,30.302142857142858,10.75,0.3557142857142857,0.3242857142857143
11,1,SHORT,700,30.302142857142858,10.75,28.8925,11.0,0.3242857142857143,0.3557142857142857
11,2,LONG,19501,39.9213373673145,28.25,40.732141941438904,27.5,0.6190451771704015,0.6119173375724322
11,2,SHORT,19501,40.732141941438904,27.5,39.9213373673145,28.25,0.6119173375724322,0.6190451771704015
12,0,LONG,22418,23.492294138638595,17.75,22.511887768757248,16.0,0.45329645820322956,0.41658488714425906
12,0,SHORT,22418,22.511887768757248,16.0,23.492294138638595,17.75,0.41658488714425906,0.45329645820322956
12,1,LONG,10641,38.39563950756508,28.25,39.01355605676158,26.5,0.6127243680105253,0.5896062400150361
12,1,SHORT,10641,39.01355605676158,26.5,38.39563950756508,28.25,0.5896062400150361,0.6127243680105253
12,2,LONG,4475,21.706424581005585,15.75,18.53927374301676,11.25,0.3928491620111732,0.2862569832402235
12,2,SHORT,4475,18.53927374301676,11.25,21.706424581005585,15.75,0.2862569832402235,0.3928491620111732
13,0,LONG,25123,23.61092425267683,18.0,24.118914938502567,17.0,0.459817696931099,0.4462842813358277
13,0,SHORT,25123,24.118914938502567,17.0,23.61092425267683,18.0,0.4462842813358277,0.459817696931099
13,1,LONG,6338,37.47088987062165,26.5,36.396497317765856,25.75,0.5952982013253392,0.579520353423793
13,1,SHORT,6338,36.396497317765856,25.75,37.47088987062165,26.5,0.579520353423793,0.5952982013253392
13,2,LONG,6073,21.043471101597234,13.75,20.78313848180471,12.5,0.36752840441297546,0.35452000658653054
13,2,SHORT,6073,20.78313848180471,12.5,21.043471101597234,13.75,0.35452000658653054,0.36752840441297546
14,0,LONG,6627,35.14625773351441,24.5,37.739965293496304,26.5,0.5719028217896485,0.5949901916402596
14,0,SHORT,6627,37.739965293496304,26.5,35.14625773351441,24.5,0.5949901916402596,0.5719028217896485
14,1,LONG,23822,23.863498027033835,17.25,23.072957770128454,15.75,0.44232222315506675,0.41822684913105534
14,1,SHORT,23822,23.072957770128454,15.75,23.863498027033835,17.25,0.41822684913105534,0.44232222315506675
14,2,LONG,7085,20.13260409315455,12.5,20.815067043048696,13.0,0.31813690896259705,0.3507410021171489
14,2,SHORT,7085,20.815067043048696,13.0,20.13260409315455,12.5,0.3507410021171489,0.31813690896259705
15,0,LONG,22595,30.005167072361143,22.0,29.51446116397433,19.75,0.5410931622040275,0.49626023456516927
15,0,SHORT,22595,29.51446116397433,19.75,30.005167072361143,22.0,0.49626023456516927,0.5410931622040275
15,1,LONG,5407,41.79554281486961,27.25,41.790318106158686,28.25,0.5873867209173294,0.595524320325504
