window,direction,horizon_bars,observations,mean_future_points,median_future_points,mean_future_points_after_cost,mean_mfe_points,median_mfe_points,mean_mae_points,median_mae_points,positive_probability,cost_covered_probability,validation_start,validation_end
7,short_reversion,10,4243,-3.984975253358473,-16.75,-5.094975253358473,31.68167920978363,8.75,-31.838664158043272,-25.75,0.318878152250766,0.31180768324298846,2022-11-06 09:30:00-05:00,2023-02-06 09:30:00-05:00
7,short_reversion,20,4233,-8.260689818095914,-24.0,-9.370689818095913,49.52645813734713,16.25,-53.739240357478835,-41.75,0.3437278525868179,0.3399480274037326,2022-11-06 09:30:00-05:00,2023-02-06 09:30:00-05:00
7,short_reversion,30,4223,-12.885685531612598,-29.25,-13.995685531612597,63.361712135465666,25.0,-72.32990357478833,-56.25,0.3547241297655695,0.3528297418896519,2022-11-06 09:30:00-05:00,2023-02-06 09:30:00-05:00
7,short_reversion,60,4193,-26.269019794896256,-48.75,-27.379019794896255,94.7370649106303,46.75,-120.30209313264346,-96.25,0.38945862151204386,0.38755067970426904,2022-11-06 09:30:00-05:00,2023-02-06 09:30:00-05:00
8,long_reversion,1,3829,0.20553669365369548,-1.5,-0.9044633063463043,7.383128754243928,3.5,-3.6490598067380517,-4.75,0.3387307390963698,0.26691042047531993,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,long_reversion,3,3827,0.6034099817089104,-4.75,-0.5065900182910895,15.405131888221467,5.5,-11.048576651867329,-10.0,0.27985367128298927,0.2505879278808466,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,long_reversion,5,3825,1.000326797385621,-8.5,-0.10967320261437896,21.71291459911204,7.0,-16.820449203447374,-14.75,0.2768627450980392,0.2687581699346405,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,long_reversion,10,3820,2.0178010471204186,-15.0,0.9078010471204188,34.64703577957691,11.0,-28.82945938887438,-24.25,0.35340314136125656,0.3473821989528796,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,long_reversion,20,3810,4.175721784776903,-17.25,3.0657217847769034,53.959062418386004,20.75,-47.54864194306607,-40.5,0.4110236220472441,0.40498687664041993,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,long_reversion,30,3800,6.24375,-16.5,5.133750000000001,69.82560720814834,34.0,-62.285518412118044,-55.0,0.43,0.42657894736842106,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,long_reversion,60,3770,11.422015915119363,-8.75,10.312015915119364,107.46617915904936,71.75,-93.36589187777487,-84.0,0.4755968169761273,0.4718832891246684,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,short_reversion,1,4458,-0.17642440556303274,-1.5,-1.2864244055630327,6.129878869448183,2.75,-3.470446388515029,-4.0,0.3304172274562584,0.24764468371467024,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,short_reversion,3,4456,-0.5258640035906643,-4.75,-1.6358640035906642,12.596624046657695,4.0,-10.11456931359354,-8.75,0.23070017953321365,0.20287253141831238,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,short_reversion,5,4454,-0.8741019308486754,-8.25,-1.9841019308486754,17.69650067294751,5.0,-15.475717810677434,-12.75,0.2256398742703188,0.21441400987876066,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,short_reversion,10,4449,-1.7738255787817487,-15.25,-2.8838255787817486,28.284432480933155,7.0,-26.5466576940332,-22.25,0.29444819060463023,0.2874803326590245,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,short_reversion,20,4439,-3.5257377787790043,-22.75,-4.635737778779005,43.95575370121131,12.5,-44.236484970838944,-37.0,0.34624915521513855,0.34151835999098895,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
8,short_reversion,30,4429,-5.183732219462633,-29.5,-6.293732219462633,56.39883355764917,20.125,-58.93921040825482,-50.5,0.38247911492436215,0.37976969970648,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
