side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,wr_ge_50,wr_ge_55,wr_ge_60,positive_expectancy
LONG,0,0-20,2.0,4136,30.0,15.0,2.0,120,0.3056092843326886,-0.08317214700193432,False,False,False,False
LONG,0,0-20,2.5,1085,5.0,5.0,1.0,10,0.4156682027649769,-0.16866359447004614,False,False,False,False
LONG,0,0-20,2.5,1085,10.0,5.0,2.0,10,0.2617511520737327,-0.21474654377880198,False,False,False,False
LONG,0,0-20,2.5,1085,15.0,10.0,1.5,10,0.2912442396313364,-0.27188940092165903,False,False,False,False
LONG,0,0-20,2.5,1085,20.0,10.0,2.0,10,0.2175115207373271,-0.34746543778801875,False,False,False,False
LONG,0,0-20,2.5,1085,30.0,15.0,2.0,10,0.1548387096774193,-0.5354838709677421,False,False,False,False
LONG,0,0-20,2.5,1085,5.0,5.0,1.0,20,0.4414746543778802,-0.11705069124423956,False,False,False,False
LONG,0,0-20,2.5,1085,10.0,5.0,2.0,20,0.2783410138248848,-0.16497695852534566,False,False,False,False
LONG,0,0-20,2.5,1085,15.0,10.0,1.5,20,0.3235023041474654,-0.19124423963133652,False,False,False,False
LONG,0,0-20,2.5,1085,20.0,10.0,2.0,20,0.2552995391705069,-0.23410138248847934,False,False,False,False
LONG,0,0-20,2.5,1085,30.0,15.0,2.0,20,0.2129032258064516,-0.3612903225806452,False,False,False,False
LONG,0,0-20,2.5,1085,5.0,5.0,1.0,30,0.4525345622119816,-0.0949308755760368,False,False,False,False
LONG,0,0-20,2.5,1085,10.0,5.0,2.0,30,0.2949308755760368,-0.11520737327188957,False,False,False,False
LONG,0,0-20,2.5,1085,15.0,10.0,1.5,30,0.3336405529953917,-0.1658986175115208,False,False,False,False
LONG,0,0-20,2.5,1085,20.0,10.0,2.0,30,0.2654377880184332,-0.20368663594470038,False,False,False,False
LONG,0,0-20,2.5,1085,30.0,15.0,2.0,30,0.2387096774193548,-0.2838709677419356,False,False,False,False
LONG,0,0-20,2.5,1085,5.0,5.0,1.0,60,0.4599078341013825,-0.08018433179723505,False,False,False,False
LONG,0,0-20,2.5,1085,10.0,5.0,2.0,60,0.3152073732718894,-0.05437788018433176,False,False,False,False
LONG,0,0-20,2.5,1085,15.0,10.0,1.5,60,0.36036866359447,-0.09907834101382496,False,False,False,False
LONG,0,0-20,2.5,1085,20.0,10.0,2.0,60,0.2820276497695853,-0.15391705069124417,False,False,False,False
LONG,0,0-20,2.5,1085,30.0,15.0,2.0,60,0.2635944700460829,-0.2092165898617514,False,False,False,False
LONG,0,0-20,2.5,1085,5.0,5.0,1.0,120,0.4608294930875576,-0.07834101382488479,False,False,False,False
LONG,0,0-20,2.5,1085,10.0,5.0,2.0,120,0.3244239631336406,-0.026728110599078314,False,False,False,False
LONG,0,0-20,2.5,1085,15.0,10.0,1.5,120,0.3834101382488479,-0.04147465437788023,False,False,False,False
LONG,0,0-20,2.5,1085,20.0,10.0,2.0,120,0.3069124423963134,-0.07926267281105981,False,False,False,False
LONG,0,0-20,2.5,1085,30.0,15.0,2.0,120,0.2995391705069124,-0.10138248847926279,False,False,False,False
LONG,0,0-20,3.0,253,5.0,5.0,1.0,10,0.375494071146245,-0.24901185770751,False,False,False,False
LONG,0,0-20,3.0,253,10.0,5.0,2.0,10,0.233201581027668,-0.30039525691699603,False,False,False,False
LONG,0,0-20,3.0,253,15.0,10.0,1.5,10,0.2964426877470356,-0.258893280632411,False,False,False,False
LONG,0,0-20,3.0,253,20.0,10.0,2.0,10,0.217391304347826,-0.34782608695652206,False,False,False,False
LONG,0,0-20,3.0,253,30.0,15.0,2.0,10,0.1541501976284585,-0.5375494071146245,False,False,False,False
LONG,0,0-20,3.0,253,5.0,5.0,1.0,20,0.3992094861660079,-0.2015810276679843,False,False,False,False
LONG,0,0-20,3.0,253,10.0,5.0,2.0,20,0.2490118577075099,-0.25296442687747034,False,False,False,False
LONG,0,0-20,3.0,253,15.0,10.0,1.5,20,0.3162055335968379,-0.20948616600790526,False,False,False,False
LONG,0,0-20,3.0,253,20.0,10.0,2.0,20,0.2490118577075099,-0.25296442687747034,False,False,False,False
LONG,0,0-20,3.0,253,30.0,15.0,2.0,20,0.217391304347826,-0.34782608695652206,False,False,False,False
LONG,0,0-20,3.0,253,5.0,5.0,1.0,30,0.4071146245059288,-0.1857707509881425,False,False,False,False
LONG,0,0-20,3.0,253,10.0,5.0,2.0,30,0.2687747035573122,-0.19367588932806334,False,False,False,False
LONG,0,0-20,3.0,253,15.0,10.0,1.5,30,0.3201581027667984,-0.19960474308300402,False,False,False,False
LONG,0,0-20,3.0,253,20.0,10.0,2.0,30,0.2569169960474308,-0.22924901185770763,False,False,False,False
LONG,0,0-20,3.0,253,30.0,15.0,2.0,30,0.2450592885375494,-0.26482213438735175,False,False,False,False
LONG,0,0-20,3.0,253,5.0,5.0,1.0,60,0.4189723320158103,-0.1620553359683794,False,False,False,False
LONG,0,0-20,3.0,253,10.0,5.0,2.0,60,0.2964426877470356,-0.1106719367588932,False,False,False,False
LONG,0,0-20,3.0,253,15.0,10.0,1.5,60,0.3478260869565217,-0.1304347826086958,False,False,False,False
LONG,0,0-20,3.0,253,20.0,10.0,2.0,60,0.2648221343873518,-0.2055335968379446,False,False,False,False
LONG,0,0-20,3.0,253,30.0,15.0,2.0,60,0.2490118577075099,-0.25296442687747034,False,False,False,False
LONG,0,0-20,3.0,253,5.0,5.0,1.0,120,0.4189723320158103,-0.1620553359683794,False,False,False,False
LONG,0,0-20,3.0,253,10.0,5.0,2.0,120,0.3162055335968379,-0.05138339920948631,False,False,False,False
LONG,0,0-20,3.0,253,15.0,10.0,1.5,120,0.375494071146245,-0.06126482213438755,False,False,False,False
LONG,0,0-20,3.0,253,20.0,10.0,2.0,120,0.2885375494071146,-0.13438735177865613,False,False,False,False
LONG,0,0-20,3.0,253,30.0,15.0,2.0,120,0.2885375494071146,-0.13438735177865613,False,False,False,False
LONG,0,20-40,1.5,8519,5.0,5.0,1.0,10,0.4384317408146496,-0.12313651837070078,False,False,False,False
LONG,0,20-40,1.5,8519,10.0,5.0,2.0,10,0.3046132175137927,-0.08616034745862178,False,False,False,False
LONG,0,20-40,1.5,8519,15.0,10.0,1.5,10,0.3205775325742458,-0.19855616856438546,False,False,False,False
LONG,0,20-40,1.5,8519,20.0,10.0,2.0,10,0.2256133348984622,-0.3231599953046135,False,False,False,False
LONG,0,20-40,1.5,8519,30.0,15.0,2.0,10,0.1356966780138513,-0.592909965958446,False,False,False,False
LONG,0,20-40,1.5,8519,5.0,5.0,1.0,20,0.4473529757013734,-0.10529404859725316,False,False,False,False
LONG,0,20-40,1.5,8519,10.0,5.0,2.0,20,0.3223383026176781,-0.032985092146965767,False,False,False,False
LONG,0,20-40,1.5,8519,15.0,10.0,1.5,20,0.3736354032163399,-0.06591149195915025,False,False,False,False
LONG,0,20-40,1.5,8519,20.0,10.0,2.0,20,0.2899401338185233,-0.13017959854443018,False,False,False,False
LONG,0,20-40,1.5,8519,30.0,15.0,2.0,20,0.2097664045075713,-0.37070078647728605,False,False,False,False
LONG,0,20-40,1.5,8519,5.0,5.0,1.0,30,0.4498180537621786,-0.10036389247564287,False,False,False,False
LONG,0,20-40,1.5,8519,10.0,5.0,2.0,30,0.3248033806784834,-0.025589857964549823,False,False,False,False
LONG,0,20-40,1.5,8519,15.0,10.0,1.5,30,0.3876041788942364,-0.030989552764409067,False,False,False,False
LONG,0,20-40,1.5,8519,20.0,10.0,2.0,30,0.3095433736354032,-0.07136987909379044,False,False,False,False
LONG,0,20-40,1.5,8519,30.0,15.0,2.0,30,0.2476816527761474,-0.2569550416715578,False,False,False,False
LONG,0,20-40,1.5,8519,5.0,5.0,1.0,60,0.4542786712055405,-0.09144265758891906,False,False,False,False
LONG,0,20-40,1.5,8519,10.0,5.0,2.0,60,0.329850921469656,-0.010447235591032,False,False,False,False
LONG,0,20-40,1.5,8519,15.0,10.0,1.5,60,0.4019251085808193,0.004812771452048281,False,False,False,True
LONG,0,20-40,1.5,8519,20.0,10.0,2.0,60,0.3318464608522127,-0.004460617443361903,False,False,False,False
LONG,0,20-40,1.5,8519,30.0,15.0,2.0,60,0.3009742927573658,-0.09707712172790262,False,False,False,False
LONG,0,20-40,1.5,8519,5.0,5.0,1.0,120,0.4548655945533513,-0.09026881089329741,False,False,False,False
LONG,0,20-40,1.5,8519,10.0,5.0,2.0,120,0.3317290761826506,-0.004812771452048281,False,False,False,False
LONG,0,20-40,1.5,8519,15.0,10.0,1.5,120,0.4075595727198028,0.01889893179950708,False,False,False,True
LONG,0,20-40,1.5,8519,20.0,10.0,2.0,120,0.3393590797041906,0.018077239112571752,False,False,False,True
LONG,0,20-40,1.5,8519,30.0,15.0,2.0,120,0.3280901514262237,-0.015729545721328786,False,False,False,False
LONG,0,20-40,2.0,3191,5.0,5.0,1.0,10,0.4305860231902225,-0.13882795361955497,False,False,False,False
LONG,0,20-40,2.0,3191,10.0,5.0,2.0,10,0.3030397994359135,-0.09088060169225942,False,False,False,False
LONG,0,20-40,2.0,3191,15.0,10.0,1.5,10,0.3277969288624255,-0.18050767784393623,False,False,False,False
LONG,0,20-40,2.0,3191,20.0,10.0,2.0,10,0.2378564713256032,-0.28643058602319044,False,False,False,False
LONG,0,20-40,2.0,3191,30.0,15.0,2.0,10,0.1488561579442181,-0.5534315261673457,False,False,False,False
LONG,0,20-40,2.0,3191,5.0,5.0,1.0,20,0.4406142275148856,-0.11877154497022874,False,False,False,False
LONG,0,20-40,2.0,3191,10.0,5.0,2.0,20,0.3212159197743654,-0.03635224067690379,False,False,False,False
LONG,0,20-40,2.0,3191,15.0,10.0,1.5,20,0.3776245691005954,-0.05593857724851159,False,False,False,False
LONG,0,20-40,2.0,3191,20.0,10.0,2.0,20,0.3011595111250392,-0.09652146662488248,False,False,False,False
LONG,0,20-40,2.0,3191,30.0,15.0,2.0,20,0.2215606392980257,-0.3353180821059229,False,False,False,False
LONG,0,20-40,2.0,3191,5.0,5.0,1.0,30,0.4437480413663428,-0.11250391726731435,False,False,False,False
LONG,0,20-40,2.0,3191,10.0,5.0,2.0,30,0.3230962080852397,-0.030711375744280844,False,False,False,False
LONG,0,20-40,2.0,3191,15.0,10.0,1.5,30,0.3920401128172986,-0.019899717956753493,False,False,False,False
LONG,0,20-40,2.0,3191,20.0,10.0,2.0,30,0.3196490128486368,-0.041052961454089654,False,False,False,False
LONG,0,20-40,2.0,3191,30.0,15.0,2.0,30,0.2569727358194923,-0.22908179254152305,False,False,False,False
LONG,0,20-40,2.0,3191,5.0,5.0,1.0,60,0.4481353807583829,-0.10372923848323423,False,False,False,False
LONG,0,20-40,2.0,3191,10.0,5.0,2.0,60,0.3277969288624255,-0.016609213412723478,False,False,False,False
LONG,0,20-40,2.0,3191,15.0,10.0,1.5,60,0.4086493262300219,0.021623315575054813,False,False,False,True
LONG,0,20-40,2.0,3191,20.0,10.0,2.0,60,0.3444061422751489,0.03321842682544662,False,False,False,True
LONG,0,20-40,2.0,3191,30.0,15.0,2.0,60,0.3068003760576622,-0.07959887182701342,False,False,False,False
LONG,0,20-40,2.0,3191,5.0,5.0,1.0,120,0.4481353807583829,-0.10372923848323423,False,False,False,False
LONG,0,20-40,2.0,3191,10.0,5.0,2.0,120,0.3290504544030084,-0.01284863679097481,False,False,False,False
LONG,0,20-40,2.0,3191,15.0,10.0,1.5,120,0.4146035725477907,0.03650893136947675,False,False,False,True
LONG,0,20-40,2.0,3191,20.0,10.0,2.0,120,0.3553744907552491,0.06612347226574722,False,False,False,True
LONG,0,20-40,2.0,3191,30.0,15.0,2.0,120,0.3381385145722344,0.014415543716703283,False,False,False,True
LONG,0,20-40,2.5,877,5.0,5.0,1.0,10,0.4264538198403649,-0.1470923603192702,False,False,False,False
LONG,0,20-40,2.5,877,10.0,5.0,2.0,10,0.3021664766248574,-0.09350057012542778,False,False,False,False
LONG,0,20-40,2.5,877,15.0,10.0,1.5,10,0.338654503990878,-0.15336374002280506,False,False,False,False
LONG,0,20-40,2.5,877,20.0,10.0,2.0,10,0.2588369441277081,-0.22348916761687576,False,False,False,False
LONG,0,20-40,2.5,877,30.0,15.0,2.0,10,0.1847206385404789,-0.44583808437856326,False,False,False,False
LONG,0,20-40,2.5,877,5.0,5.0,1.0,20,0.43557582668187,-0.12884834663626,False,False,False,False
LONG,0,20-40,2.5,877,10.0,5.0,2.0,20,0.3181299885974915,-0.04561003420752552,False,False,False,False
LONG,0,20-40,2.5,877,15.0,10.0,1.5,20,0.3774230330672748,-0.05644241733181299,False,False,False,False
LONG,0,20-40,2.5,877,20.0,10.0,2.0,20,0.3124287343215507,-0.06271379703534785,False,False,False,False
LONG,0,20-40,2.5,877,30.0,15.0,2.0,20,0.2542759407069555,-0.23717217787913347,False,False,False,False
LONG,0,20-40,2.5,877,5.0,5.0,1.0,30,0.4389965792474344,-0.12200684150513119,False,False,False,False
LONG,0,20-40,2.5,877,10.0,5.0,2.0,30,0.3204104903078677,-0.03876852907639683,False,False,False,False
LONG,0,20-40,2.5,877,15.0,10.0,1.5,30,0.3911060433295324,-0.02223489167616899,False,False,False,False
LONG,0,20-40,2.5,877,20.0,10.0,2.0,30,0.3295324971493729,-0.011402508551881296,False,False,False,False
LONG,0,20-40,2.5,877,30.0,15.0,2.0,30,0.2816419612314709,-0.15507411630558732,False,False,False,False
LONG,0,20-40,2.5,877,5.0,5.0,1.0,60,0.4458380843785632,-0.10832383124287359,False,False,False,False
LONG,0,20-40,2.5,877,10.0,5.0,2.0,60,0.3249714937286203,-0.02508551881413912,False,False,False,False
LONG,0,20-40,2.5,877,15.0,10.0,1.5,60,0.4047890535917902,0.011972633979475455,False,False,False,True
LONG,0,20-40,2.5,877,20.0,10.0,2.0,60,0.3534777651083238,0.06043329532497144,False,False,False,True
LONG,0,20-40,2.5,877,30.0,15.0,2.0,60,0.3169897377423033,-0.04903078677309003,False,False,False,False
LONG,0,20-40,2.5,877,5.0,5.0,1.0,120,0.4458380843785632,-0.10832383124287359,False,False,False,False
LONG,0,20-40,2.5,877,10.0,5.0,2.0,120,0.3249714937286203,-0.02508551881413912,False,False,False,False
LONG,0,20-40,2.5,877,15.0,10.0,1.5,120,0.4082098061573546,0.02052451539338651,False,False,False,True
LONG,0,20-40,2.5,877,20.0,10.0,2.0,120,0.3603192702394527,0.08095781071835806,False,False,False,True
LONG,0,20-40,2.5,877,30.0,15.0,2.0,120,0.346636259977195,0.03990877993158504,False,False,False,True
LONG,0,20-40,3.0,236,5.0,5.0,1.0,10,0.3983050847457627,-0.20338983050847453,False,False,False,False
LONG,0,20-40,3.0,236,10.0,5.0,2.0,10,0.3389830508474576,0.016949152542372836,False,False,False,True
LONG,0,20-40,3.0,236,15.0,10.0,1.5,10,0.3135593220338983,-0.21610169491525422,False,False,False,False
LONG,0,20-40,3.0,236,20.0,10.0,2.0,10,0.25,-0.25,False,False,False,False
LONG,0,20-40,3.0,236,30.0,15.0,2.0,10,0.2245762711864407,-0.3262711864406779,False,False,False,False
LONG,0,20-40,3.0,236,5.0,5.0,1.0,20,0.4067796610169492,-0.18644067796610164,False,False,False,False
LONG,0,20-40,3.0,236,10.0,5.0,2.0,20,0.3432203389830508,0.029661016949152463,False,False,False,True
LONG,0,20-40,3.0,236,15.0,10.0,1.5,20,0.3601694915254237,-0.09957627118644075,False,False,False,False
LONG,0,20-40,3.0,236,20.0,10.0,2.0,20,0.2923728813559322,-0.1228813559322034,False,False,False,False
LONG,0,20-40,3.0,236,30.0,15.0,2.0,20,0.2754237288135593,-0.17372881355932213,False,False,False,False
LONG,0,20-40,3.0,236,5.0,5.0,1.0,30,0.4110169491525424,-0.17796610169491522,False,False,False,False
LONG,0,20-40,3.0,236,10.0,5.0,2.0,30,0.3474576271186441,0.0423728813559322,False,False,False,True
LONG,0,20-40,3.0,236,15.0,10.0,1.5,30,0.3728813559322034,-0.06779661016949146,False,False,False,False
LONG,0,20-40,3.0,236,20.0,10.0,2.0,30,0.3220338983050847,-0.03389830508474578,False,False,False,False
LONG,0,20-40,3.0,236,30.0,15.0,2.0,30,0.288135593220339,-0.13559322033898302,False,False,False,False
LONG,0,20-40,3.0,236,5.0,5.0,1.0,60,0.4152542372881356,-0.1694915254237288,False,False,False,False
LONG,0,20-40,3.0,236,10.0,5.0,2.0,60,0.3559322033898305,0.06779661016949146,False,False,False,True
LONG,0,20-40,3.0,236,15.0,10.0,1.5,60,0.3898305084745763,-0.025423728813559254,False,False,False,False
LONG,0,20-40,3.0,236,20.0,10.0,2.0,60,0.3474576271186441,0.0423728813559322,False,False,False,True
LONG,0,20-40,3.0,236,30.0,15.0,2.0,60,0.3220338983050847,-0.03389830508474578,False,False,False,False
LONG,0,20-40,3.0,236,5.0,5.0,1.0,120,0.4152542372881356,-0.1694915254237288,False,False,False,False
LONG,0,20-40,3.0,236,10.0,5.0,2.0,120,0.3559322033898305,0.06779661016949146,False,False,False,True
LONG,0,20-40,3.0,236,15.0,10.0,1.5,120,0.3983050847457627,-0.004237288135593209,False,False,False,False
LONG,0,20-40,3.0,236,20.0,10.0,2.0,120,0.3601694915254237,0.08050847457627108,False,False,False,True
LONG,0,20-40,3.0,236,30.0,15.0,2.0,120,0.3686440677966102,0.10593220338983056,False,False,False,True
LONG,0,40-60,1.5,8453,5.0,5.0,1.0,10,0.4438660830474388,-0.1122678339051224,False,False,False,False
LONG,0,40-60,1.5,8453,10.0,5.0,2.0,10,0.3131432627469537,-0.0605702117591389,False,False,False,False
LONG,0,40-60,1.5,8453,15.0,10.0,1.5,10,0.3360936945463149,-0.1597657636342128,False,False,False,False
LONG,0,40-60,1.5,8453,20.0,10.0,2.0,10,0.2373121968531882,-0.28806340944043546,False,False,False,False
LONG,0,40-60,1.5,8453,30.0,15.0,2.0,10,0.1379391931858511,-0.5861824204424466,False,False,False,False
LONG,0,40-60,1.5,8453,5.0,5.0,1.0,20,0.4515556607121732,-0.0968886785756537,False,False,False,False
LONG,0,40-60,1.5,8453,10.0,5.0,2.0,20,0.3245001774517922,-0.02649946764462341,False,False,False,False
LONG,0,40-60,1.5,8453,15.0,10.0,1.5,20,0.3756062936235656,-0.06098426594108597,False,False,False,False
LONG,0,40-60,1.5,8453,20.0,10.0,2.0,20,0.294451673961907,-0.11664497811427899,False,False,False,False
LONG,0,40-60,1.5,8453,30.0,15.0,2.0,20,0.2200402224062463,-0.3398793327812611,False,False,False,False
LONG,0,40-60,1.5,8453,5.0,5.0,1.0,30,0.452975275050278,-0.09404944989944397,False,False,False,False
LONG,0,40-60,1.5,8453,10.0,5.0,2.0,30,0.3286407192712646,-0.014077842186206224,False,False,False,False
LONG,0,40-60,1.5,8453,15.0,10.0,1.5,30,0.3870815095232461,-0.03229622619188477,False,False,False,False
LONG,0,40-60,1.5,8453,20.0,10.0,2.0,30,0.3123151543830593,-0.06305453685082207,False,False,False,False
LONG,0,40-60,1.5,8453,30.0,15.0,2.0,30,0.2570684963918135,-0.22879451082455948,False,False,False,False
LONG,0,40-60,1.5,8453,5.0,5.0,1.0,60,0.4534484798296462,-0.0931030403407076,False,False,False,False
LONG,0,40-60,1.5,8453,10.0,5.0,2.0,60,0.3314799479474742,-0.005560156157577434,False,False,False,False
LONG,0,40-60,1.5,8453,15.0,10.0,1.5,60,0.3971371110848219,-0.007157222287945242,False,False,False,False
LONG,0,40-60,1.5,8453,20.0,10.0,2.0,60,0.3274577073228439,-0.01762687803146823,False,False,False,False
LONG,0,40-60,1.5,8453,30.0,15.0,2.0,60,0.3039157695492724,-0.08825269135218272,False,False,False,False
LONG,0,40-60,1.5,8453,5.0,5.0,1.0,120,0.4539216846090145,-0.092156630781971,False,False,False,False
LONG,0,40-60,1.5,8453,10.0,5.0,2.0,120,0.3325446587010529,-0.002366023896841374,False,False,False,False
LONG,0,40-60,1.5,8453,15.0,10.0,1.5,120,0.4018691588785046,0.004672897196261516,False,False,False,True
LONG,0,40-60,1.5,8453,20.0,10.0,2.0,120,0.3320714539216846,-0.0037856382349462647,False,False,False,False
LONG,0,40-60,1.5,8453,30.0,15.0,2.0,120,0.320596238022004,-0.03821128593398804,False,False,False,False
LONG,0,40-60,2.0,3057,5.0,5.0,1.0,10,0.4435721295387635,-0.11285574092247291,False,False,False,False
LONG,0,40-60,2.0,3057,10.0,5.0,2.0,10,0.319267255479228,-0.042198233562316,False,False,False,False
LONG,0,40-60,2.0,3057,15.0,10.0,1.5,10,0.3585214262348707,-0.10369643441282317,False,False,False,False
LONG,0,40-60,2.0,3057,20.0,10.0,2.0,10,0.2656198887798495,-0.20314033366045148,False,False,False,False
LONG,0,40-60,2.0,3057,30.0,15.0,2.0,10,0.1579980372914622,-0.5260058881256133,False,False,False,False
LONG,0,40-60,2.0,3057,5.0,5.0,1.0,20,0.451422963689892,-0.09715407262021603,False,False,False,False
LONG,0,40-60,2.0,3057,10.0,5.0,2.0,20,0.3310435067059208,-0.006869479882237628,False,False,False,False
LONG,0,40-60,2.0,3057,15.0,10.0,1.5,20,0.3961400065423618,-0.009649983644095417,False,False,False,False
LONG,0,40-60,2.0,3057,20.0,10.0,2.0,20,0.3166503107621851,-0.05004906771344475,False,False,False,False
LONG,0,40-60,2.0,3057,30.0,15.0,2.0,20,0.2391233235197906,-0.2826300294406282,False,False,False,False
LONG,0,40-60,2.0,3057,5.0,5.0,1.0,30,0.4530585541380438,-0.09388289172391234,False,False,False,False
LONG,0,40-60,2.0,3057,10.0,5.0,2.0,30,0.3349689237814851,0.004906771344455163,False,False,False,True
LONG,0,40-60,2.0,3057,15.0,10.0,1.5,30,0.4075891396794243,0.018972849198560682,False,False,False,True
LONG,0,40-60,2.0,3057,20.0,10.0,2.0,30,0.329407916257769,-0.011776251226693013,False,False,False,False
LONG,0,40-60,2.0,3057,30.0,15.0,2.0,30,0.2741249591102388,-0.17762512266928354,False,False,False,False
LONG,0,40-60,2.0,3057,5.0,5.0,1.0,60,0.4533856722276742,-0.0932286555446517,False,False,False,False
