side,hmm_state,vol_bucket,zscore,observations,windows,mean_path_wr,median_path_wr,mean_mfe,mean_mae,window_wr_std,windows_positive,windows_tested,sample_score,wr_score,positive_window_ratio,stability_score,mfe_mae_score,research_score,distance_to_50wr
LONG,1,60-80,1.5,6118,21,0.3379535796011769,0.3226544622425629,,,,,,0.9154664404692386,0.17590715920235378,,0.5,,,0.1620464203988231
LONG,2,60-80,3.5,101,17,0.3374257425742575,0.3366336633663366,,,,,,0.48559842117559626,0.174851485148515,,0.5,,,0.1625742574257425
LONG,0,40-60,3.0,199,20,0.3356783919597991,0.3366834170854271,,,,,,0.5562961452860827,0.1713567839195982,,0.5,,,0.1643216080402009
SHORT,0,80-100,2.5,899,21,0.3343715239154616,0.3125695216907675,,,,,,0.7142165566456051,0.1687430478309232,,0.5,,,0.1656284760845384
SHORT,0,80-100,1.5,10840,21,0.3315092250922509,0.3169741697416974,,,,,,0.9755168452794448,0.16301845018450178,,0.5,,,0.1684907749077491
SHORT,2,80-100,2.0,2189,21,0.3310004568296025,0.3343992690726359,,,,,,0.8075845113409388,0.162000913659205,,0.5,,,0.1689995431703975
SHORT,1,20-40,1.5,5476,21,0.3309861212563916,0.3192111029948867,,,,,,0.9038286852778833,0.1619722425127832,,0.5,,,0.1690138787436084
LONG,1,80-100,3.0,547,20,0.3302376599634368,0.3217550274223035,,,,,,0.662126556516131,0.16047531992687358,,0.5,,,0.1697623400365632
LONG,1,40-60,2.5,990,21,0.3298989898989899,0.3323232323232323,,,,,,0.7243296385201639,0.15979797979797983,,0.5,,,0.17010101010101009
SHORT,2,80-100,3.0,218,19,0.3295412844036697,0.3348623853211009,,,,,,0.5658248878964999,0.1590825688073394,,0.5,,,0.1704587155963303
SHORT,1,80-100,1.5,8389,21,0.3289355107879366,0.3213732268446775,,,,,,0.9486072141355594,0.15787102157587318,,0.5,,,0.1710644892120634
LONG,1,0-20,3.0,452,17,0.3287610619469026,0.3230088495575221,,,,,,0.6421373011500732,0.15752212389380515,,0.5,,,0.17123893805309742
LONG,1,80-100,1.5,8900,21,0.3282516853932584,0.3234831460674157,,,,,,0.9548148373554411,0.15650337078651677,,0.5,,,0.17174831460674161
LONG,1,80-100,2.5,1492,21,0.3281769436997318,0.3156836461126005,,,,,,0.7673595039057299,0.15635388739946365,,0.5,,,0.17182305630026817
SHORT,1,20-40,2.0,2110,21,0.3278293838862559,0.309952606635071,,,,,,0.8037270234299265,0.15565876777251175,,0.5,,,0.17217061611374412
SHORT,1,60-80,2.0,2611,21,0.3268019915741095,0.320183837610111,,,,,,0.8260861475282595,0.153603983148219,,0.5,,,0.1731980084258905
SHORT,0,40-60,3.0,179,18,0.3267039106145252,0.329608938547486,,,,,,0.5452338315983715,0.1534078212290504,,0.5,,,0.1732960893854748
SHORT,1,60-80,1.5,6537,21,0.3263943705063484,0.3146703380755698,,,,,,0.9224205262242325,0.1527887410126968,,0.5,,,0.1736056294936516
SHORT,1,20-40,3.0,273,21,0.3260073260073259,0.3296703296703296,,,,,,0.5893496581189258,0.1520146520146518,,0.5,,,0.1739926739926741
SHORT,0,80-100,3.0,251,15,0.325418326693227,0.3107569721115538,,,,,,0.5805616904786178,0.15083665338645402,,0.5,,,0.174581673306773
LONG,1,40-60,3.0,347,17,0.324956772334294,0.3227665706051873,,,,,,0.6144512409707269,0.14991354466858797,,0.5,,,0.175043227665706
LONG,1,60-80,2.5,1002,21,0.3237524950099801,0.3193612774451098,,,,,,0.7255933834104592,0.1475049900199602,,0.5,,,0.1762475049900199
SHORT,1,80-100,2.0,3453,21,0.3230350419924703,0.314509122502172,,,,,,0.855423474907081,0.1460700839849406,,0.5,,,0.1769649580075297
SHORT,0,20-40,2.0,3371,20,0.3227172945713438,0.3138534559477899,,,,,,0.8529007694990436,0.1454345891426876,,0.5,,,0.1772827054286562
SHORT,1,0-20,2.5,930,18,0.3220645161290323,0.3043010752688172,,,,,,0.7177721568995361,0.14412903225806462,,0.5,,,0.1779354838709677
SHORT,0,40-60,2.5,814,20,0.321965601965602,0.312039312039312,,,,,,0.7038003672763896,0.14393120393120395,,0.5,,,0.17803439803439802
LONG,0,0-20,2.0,4136,21,0.3219148936170213,0.3056092843326886,,,,,,0.8743685296486531,0.1438297872340426,,0.5,,,0.1780851063829787
LONG,1,0-20,3.5,172,15,0.3218604651162791,0.3197674418604651,,,,,,0.5410691831437112,0.14372093023255816,,0.5,,,0.17813953488372092
SHORT,1,40-60,1.5,5231,21,0.3218199197094245,0.3033836742496654,,,,,,0.8990237114050311,0.14363983941884895,,0.5,,,0.17818008029057553
SHORT,0,60-80,1.5,11293,21,0.3217887186752856,0.3075356415478615,,,,,,0.9798149539926205,0.14357743735057116,,0.5,,,0.17821128132471442
LONG,2,60-80,2.0,2483,21,0.3216915022150624,0.3189689891260572,,,,,,0.8208105702989253,0.14338300443012475,,0.5,,,0.17830849778493763
SHORT,1,20-40,2.5,703,21,0.3207396870554765,0.3058321479374111,,,,,,0.6884280938048764,0.14147937411095302,,0.5,,,0.1792603129445235
LONG,0,60-80,2.5,1112,21,0.3206474820143885,0.3156474820143884,,,,,,0.7365195237548628,0.14129496402877695,,0.5,,,0.17935251798561153
SHORT,1,40-60,2.0,2038,21,0.3201373895976446,0.3061825318940137,,,,,,0.8000834623246624,0.1402747791952892,,0.5,,,0.1798626104023554
SHORT,0,0-20,1.5,13687,21,0.3200613721049171,0.314020603492365,,,,,,1.0,0.14012274420983417,,0.5,,,0.17993862789508291
LONG,1,60-80,3.0,342,20,0.3191812865497076,0.3187134502923976,,,,,,0.61293175178244,0.13836257309941524,,0.5,,,0.18081871345029238
SHORT,2,80-100,2.5,730,21,0.3187397260273972,0.3232876712328767,,,,,,0.6923795866293172,0.1374794520547944,,0.5,,,0.1812602739726028
LONG,2,60-80,2.5,910,21,0.3187252747252747,0.3142857142857143,,,,,,0.7154920483938887,0.13745054945054935,,0.5,,,0.18127472527472532
SHORT,2,40-60,1.5,4669,21,0.3186892268151638,0.3206254015849218,,,,,,0.8870926673439861,0.13737845363032763,,0.5,,,0.18131077318483618
LONG,2,60-80,1.5,5060,21,0.3183636363636363,0.3175889328063241,,,,,,0.8955347820569797,0.1367272727272726,,0.5,,,0.1816363636363637
SHORT,0,20-40,1.5,10677,20,0.3183628360026225,0.3113234054509693,,,,,,0.9739262052680507,0.136725672005245,,0.5,,,0.1816371639973775
SHORT,1,0-20,3.0,352,17,0.3182954545454545,0.3153409090909091,,,,,,0.615949053395826,0.13659090909090899,,0.5,,,0.1817045454545455
SHORT,1,80-100,2.5,1208,21,0.3178476821192053,0.3137417218543046,,,,,,0.7452062217913347,0.13569536423841055,,0.5,,,0.18215231788079472
LONG,1,40-60,3.5,145,16,0.3177931034482759,0.3310344827586207,,,,,,0.5232531314153412,0.13558620689655176,,0.5,,,0.18220689655172412
SHORT,0,40-60,2.0,3424,21,0.3175700934579439,0.3008177570093458,,,,,,0.8545382098161879,0.1351401869158878,,0.5,,,0.1824299065420561
LONG,1,80-100,4.0,104,17,0.3173076923076923,0.3076923076923077,,,,,,0.4886419638530774,0.13461538461538458,,0.5,,,0.1826923076923077
LONG,0,0-20,1.5,11227,21,0.3171212256168166,0.3042665004008194,,,,,,0.9791995840180555,0.1342424512336332,,0.5,,,0.1828787743831834
SHORT,2,80-100,1.5,4737,21,0.3170783196115685,0.3200337766518893,,,,,,0.8886104767663006,0.13415663922313703,,0.5,,,0.18292168038843148
SHORT,1,0-20,3.5,157,15,0.316687898089172,0.3248407643312102,,,,,,0.5315465094255479,0.13337579617834405,,0.5,,,0.18331210191082797
SHORT,0,40-60,1.5,10374,21,0.3164218237902448,0.3015230383651436,,,,,,0.9709037721150126,0.1328436475804896,,0.5,,,0.1835781762097552
LONG,1,0-20,1.5,7283,20,0.3159577097349993,0.3038583001510366,,,,,,0.9337651016019489,0.13191541946999863,,0.5,,,0.18404229026500069
SHORT,2,40-60,2.0,2119,20,0.3158659745162813,0.316658801321378,,,,,,0.8041737051878681,0.13173194903256258,,0.5,,,0.1841340254837187
LONG,0,0-20,2.5,1085,21,0.3157603686635944,0.2995391705069124,,,,,,0.7339410753945201,0.13152073732718883,,0.5,,,0.18423963133640558
LONG,2,80-100,2.5,944,21,0.3155084745762711,0.3177966101694915,,,,,,0.719339273609805,0.13101694915254225,,0.5,,,0.18449152542372887
SHORT,0,0-20,2.0,4503,20,0.3148922940262047,0.3097934710193205,,,,,,0.8832925690116448,0.12978458805240944,,0.5,,,0.18510770597379528
LONG,1,80-100,3.5,213,18,0.3139906103286385,0.2957746478873239,,,,,,0.5633999563146341,0.12798122065727702,,0.5,,,0.1860093896713615
LONG,1,0-20,2.5,1369,18,0.3131044558071585,0.3024105186267348,,,,,,0.7583323831661595,0.12620891161431702,,0.5,,,0.1868955441928415
LONG,1,20-40,3.5,118,18,0.3128813559322034,0.288135593220339,,,,,,0.5017834518275074,0.1257627118644068,,0.5,,,0.1871186440677966
SHORT,1,0-20,2.0,2700,20,0.3127703703703703,0.2974074074074074,,,,,,0.8296040913134926,0.12554074074074062,,0.5,,,0.1872296296296297
LONG,1,0-20,2.0,3468,19,0.3124106113033449,0.2949826989619377,,,,,,0.8558784584461995,0.12482122260668982,,0.5,,,0.1875893886966551
SHORT,2,60-80,2.0,2499,21,0.3106042416966786,0.3109243697478991,,,,,,0.8214846969833449,0.12120848339335721,,0.5,,,0.1893957583033214
LONG,2,20-40,1.5,5263,20,0.3102337070112104,0.3021090632718982,,,,,,0.8996639260130923,0.12046741402242078,,0.5,,,0.1897662929887896
SHORT,1,40-60,2.5,686,21,0.3099125364431487,0.2944606413994169,,,,,,0.6858615924796807,0.1198250728862974,,0.5,,,0.1900874635568513
LONG,2,80-100,3.5,111,16,0.3099099099099098,0.2972972972972973,,,,,,0.4954181775163005,0.1198198198198196,,0.5,,,0.1900900900900902
SHORT,1,60-80,2.5,920,21,0.3098260869565218,0.3032608695652174,,,,,,0.7166382919879416,0.11965217391304361,,0.5,,,0.1901739130434782
SHORT,0,60-80,2.0,3855,21,0.3097276264591439,0.2926070038910506,,,,,,0.8669831368399565,0.11945525291828785,,0.5,,,0.19027237354085608
LONG,0,80-100,3.0,256,19,0.3096875,0.3203125,,,,,,0.5826245244228541,0.11937500000000001,,0.5,,,0.1903125
SHORT,2,60-80,1.5,5420,21,0.3096236162361623,0.3108856088560885,,,,,,0.9027496314157898,0.1192472324723246,,0.5,,,0.1903763837638377
LONG,2,60-80,3.0,312,21,0.3096153846153846,0.3108974358974359,,,,,,0.6033218593341308,0.11923076923076925,,0.5,,,0.19038461538461537
LONG,2,80-100,2.0,2308,21,0.3081282495667244,0.3141247833622184,,,,,,0.81314010350607,0.11625649913344882,,0.5,,,0.1918717504332756
LONG,2,80-100,3.0,305,21,0.3070163934426229,0.3049180327868852,,,,,,0.60094707605396,0.11403278688524576,,0.5,,,0.19298360655737712
LONG,2,80-100,1.5,4658,21,0.3068699012451696,0.3085015027908974,,,,,,0.8868450643619417,0.11373980249033921,,0.5,,,0.1931300987548304
LONG,2,40-60,2.0,2572,21,0.3060031104199067,0.2982115085536547,,,,,,0.8245066384941458,0.11200622083981338,,0.5,,,0.1939968895800933
LONG,2,0-20,1.5,7797,19,0.305281518532769,0.2975503398743106,,,,,,0.9409244003428419,0.11056303706553805,,0.5,,,0.19471848146723097
LONG,2,20-40,2.0,2529,20,0.3052748121787267,0.2949782522736259,,,,,,0.8227371357355081,0.11054962435745341,,0.5,,,0.1947251878212733
LONG,2,40-60,1.5,5279,21,0.3052547831028604,0.2989202500473574,,,,,,0.8999825753332685,0.11050956620572083,,0.5,,,0.19474521689713958
LONG,2,40-60,2.5,965,21,0.3047046632124352,0.2911917098445596,,,,,,0.7216469460724726,0.10940932642487045,,0.5,,,0.19529533678756478
SHORT,2,0-20,2.5,1276,19,0.3042006269592476,0.3017241379310345,,,,,,0.7509515416689467,0.1084012539184952,,0.5,,,0.1957993730407524
LONG,2,40-60,3.0,322,21,0.3036024844720497,0.3105590062111801,,,,,,0.6066238569446034,0.10720496894409937,,0.5,,,0.19639751552795032
SHORT,1,0-20,1.5,7041,20,0.3035989206078682,0.2972589120863513,,,,,,0.9302175411013573,0.10719784121573639,,0.5,,,0.1964010793921318
LONG,2,20-40,2.5,1030,20,0.3033786407766989,0.2912621359223301,,,,,,0.7284842802596353,0.10675728155339781,,0.5,,,0.1966213592233011
SHORT,2,40-60,2.5,823,20,0.3029890643985419,0.2989064398541919,,,,,,0.7049534646912872,0.10597812879708379,,0.5,,,0.1970109356014581
LONG,0,80-100,3.5,116,16,0.3013793103448275,0.3103448275862069,,,,,,0.5000038351488643,0.10275862068965502,,0.5,,,0.1986206896551725
LONG,2,0-20,2.0,3836,19,0.3013660062565172,0.2885818561001043,,,,,,0.8664645078021417,0.10273201251303443,,0.5,,,0.19863399374348278
LONG,2,0-20,2.5,1584,19,0.2997222222222222,0.2840909090909091,,,,,,0.7736378704932232,0.09944444444444445,,0.5,,,0.20027777777777778
LONG,0,0-20,3.0,253,19,0.2988142292490118,0.2885375494071146,,,,,,0.5813916937765264,0.0976284584980236,,0.5,,,0.2011857707509882
SHORT,1,80-100,3.5,199,16,0.2984924623115578,0.3115577889447236,,,,,,0.5562961452860827,0.09698492462311559,,0.5,,,0.2015075376884422
SHORT,0,60-80,2.5,1017,21,0.2971091445427729,0.2851524090462143,,,,,,0.7271519702253064,0.09421828908554575,,0.5,,,0.20289085545722713
SHORT,2,0-20,1.5,7338,19,0.2961351866993731,0.2905423821204688,,,,,,0.9345549183431945,0.09227037339874622,,0.5,,,0.2038648133006269
SHORT,1,40-60,3.0,260,19,0.2956923076923076,0.3038461538461538,,,,,,0.5842460990546804,0.09138461538461518,,0.5,,,0.2043076923076924
LONG,1,60-80,3.5,127,16,0.2954330708661419,0.2913385826771653,,,,,,0.509438288780436,0.0908661417322838,,0.5,,,0.2045669291338581
SHORT,2,60-80,2.5,869,21,0.2953279631760644,0.2957422324510932,,,,,,0.7106570676207554,0.09065592635212882,,0.5,,,0.2046720368239356
SHORT,1,80-100,3.0,431,17,0.2953132250580045,0.2993039443155452,,,,,,0.6371535582239118,0.090626450116009,,0.5,,,0.2046867749419955
SHORT,2,20-40,1.5,5581,21,0.2938899838738577,0.2917039956996954,,,,,,0.9058224989466676,0.08777996774771535,,0.5,,,0.20611001612614233
SHORT,0,0-20,2.5,1034,20,0.2938104448742747,0.2872340425531915,,,,,,0.728890843673385,0.08762088974854942,,0.5,,,0.2061895551257253
SHORT,2,80-100,3.5,103,17,0.2935922330097086,0.3106796116504854,,,,,,0.4876372205837521,0.0871844660194172,,0.5,,,0.2064077669902914
SHORT,2,20-40,3.0,341,20,0.2923167155425218,0.3079178885630498,,,,,,0.6126251971985087,0.08463343108504362,,0.5,,,0.2076832844574782
SHORT,2,0-20,2.0,3332,19,0.2921128451380552,0.2878151260504201,,,,,,0.8516793388873413,0.08422569027611038,,0.5,,,0.2078871548619448
SHORT,0,60-80,3.0,292,20,0.2905479452054794,0.2773972602739726,,,,,,0.5963889869840884,0.08109589041095877,,0.5,,,0.20945205479452061
SHORT,2,40-60,3.0,282,19,0.2878014184397163,0.2907801418439716,,,,,,0.5927429654185352,0.07560283687943259,,0.5,,,0.2121985815602837
SHORT,2,20-40,2.0,2575,21,0.2877825242718447,0.2858252427184466,,,,,,0.8246289863857242,0.0755650485436894,,0.5,,,0.2122174757281553
LONG,2,20-40,3.0,348,20,0.2870114942528736,0.3017241379310345,,,,,,0.6147525177065957,0.07402298850574718,,0.5,,,0.2129885057471264
LONG,2,0-20,3.5,233,17,0.2856652360515022,0.2832618025751073,,,,,,0.5727807335460694,0.07133047210300436,,0.5,,,0.21433476394849782
SHORT,1,60-80,3.0,351,19,0.2828490028490028,0.2877492877492877,,,,,,0.6156511954076711,0.06569800569800555,,0.5,,,0.21715099715099723
LONG,0,60-80,3.5,136,17,0.2823529411764705,0.2941176470588235,,,,,,0.5165727597217207,0.06470588235294095,,0.5,,,0.21764705882352953
SHORT,2,20-40,2.5,943,21,0.2812301166489926,0.2757158006362672,,,,,,0.7192281090992523,0.062460233297985224,,0.5,,,0.2187698833510074
SHORT,0,60-80,3.5,119,15,0.2803361344537814,0.2857142857142857,,,,,,0.5026620751172128,0.06067226890756283,,0.5,,,0.21966386554621858
SHORT,1,80-100,4.0,102,16,0.2796078431372548,0.2941176470588235,,,,,,0.4866227694996717,0.05921568627450957,,0.5,,,0.22039215686274521
SHORT,2,20-40,3.5,153,20,0.2784313725490195,0.2875816993464052,,,,,,0.5288541857463307,0.056862745098039014,,0.5,,,0.2215686274509805
LONG,2,0-20,3.0,598,19,0.2779933110367893,0.2692307692307692,,,,,,0.6714696627253242,0.05598662207357863,,0.5,,,0.22200668896321069
LONG,2,40-60,3.5,138,20,0.2779710144927536,0.2826086956521739,,,,,,0.5180944511452892,0.05594202898550715,,0.5,,,0.22202898550724642
SHORT,2,0-20,3.0,481,19,0.2777546777546777,0.2827442827442827,,,,,,0.648652441648341,0.05550935550935543,,0.5,,,0.22224532224532229
SHORT,0,0-20,3.0,222,17,0.274954954954955,0.2702702702702703,,,,,,0.5677252994232678,0.049909909909909955,,0.5,,,0.22504504504504502
SHORT,1,60-80,3.5,174,19,0.272183908045977,0.264367816091954,,,,,,0.5422760340219474,0.04436781609195395,,0.5,,,0.22781609195402303
LONG,2,0-20,4.0,100,16,0.27,0.26,,,,,,0.48456398058733197,0.040000000000000036,,0.5,,,0.22999999999999998
SHORT,2,60-80,3.0,285,20,0.2677894736842104,0.2631578947368421,,,,,,0.5938501272109873,0.03557894736842082,,0.5,,,0.2322105263157896
LONG,0,60-80,3.0,312,20,0.2666666666666666,0.2724358974358974,,,,,,0.6033218593341308,0.033333333333333215,,0.5,,,0.2333333333333334
SHORT,2,40-60,3.5,139,18,0.2656115107913669,0.2589928057553957,,,,,,0.5188471057691239,0.031223021582733823,,0.5,,,0.2343884892086331
SHORT,1,40-60,3.5,108,16,0.2651851851851852,0.2592592592592592,,,,,,0.4925674629378468,0.03037037037037038,,0.5,,,0.2348148148148148
SHORT,2,0-20,3.5,244,18,0.2595081967213115,0.25,,,,,,0.5776038929021937,0.01901639344262296,,0.5,,,0.24049180327868852
SHORT,2,0-20,4.0,129,17,0.2592248062015503,0.2403100775193798,,,,,,0.5110661488365754,0.018449612403100613,,0.5,,,0.2407751937984497
SHORT,2,60-80,3.5,133,19,0.2357894736842104,0.2330827067669172,,,,,,0.5142480550795347,0.0,,0.5,,,0.26421052631578956
LONG,2,20-40,3.5,144,18,0.2288888888888889,0.2222222222222222,,,,,,0.5225315143451865,0.0,,0.5,,,0.2711111111111111
