quantile,barrier,horizon,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
0.85,0.50R,15,4,1113,0.6762654668166479,0.6684862034676764,0.028901755584123417,0.019222576681407658,1.0978076558363297,1.0741486542300642,20.962500000000002,-16.5,6
0.7,1.00R,10,4,2124,0.5072016602300683,0.5042436065088836,0.02816091954022988,0.028900860351626652,1.0677768198456132,1.0701009570867241,55.324999999999996,-38.23749999999998,9
0.75,1.00R,10,4,1707,0.5046379285815905,0.4976489659392852,0.027658710304723784,0.016719604735572637,1.0638849543683442,1.038411332249857,33.175,-18.875,9
0.8,0.75R,5,4,1511,0.5678914163852853,0.5612545885015229,0.026307368491203124,0.02772622285564017,1.0763648835292168,1.0818299984209654,41.275,-14.625,8
0.7,1.00R,5,4,2363,0.4947915543382147,0.49445337025235936,0.02372601948323605,0.022108004835111245,1.065030192365747,1.063113600331791,55.212500000000006,-30.525000000000002,12
0.75,1.00R,5,4,1867,0.49387254901960786,0.49603512089291696,0.022963219378660554,0.01734343645394334,1.066268923340227,1.0452369518560682,40.7,-14.349999999999998,11
0.85,0.50R,5,4,1149,0.6595645382505334,0.6442290263441318,0.021073149087221098,0.015015235395955716,1.074007156464023,1.0551938042320486,18.5625,-15.0625,7
0.8,0.67R,10,4,1484,0.5928317129946598,0.5939378773538653,0.020259025971062123,0.02059225681800381,1.0583847732719303,1.062333266905716,26.537500000000005,-17.13499999999996,8
0.7,1.00R,15,4,2062,0.5087366072493855,0.5118027694518885,0.019779250781492348,0.024917195280664606,1.0431249530264441,1.0559294233431695,49.6,-34.9375,15
0.8,0.50R,10,4,1627,0.661402748195201,0.6618155231064864,0.014386368348632498,0.01589409839167784,1.0596672228212787,1.064741098490964,12.525,-21.875,5
0.8,0.67R,5,4,1560,0.5838929472270449,0.5778780325488837,0.013435688079405124,0.01646400448106542,1.0384153731655676,1.0485781236545348,25.90500000000001,-15.054999999999936,8
0.8,0.50R,15,4,1616,0.6664000551082264,0.6715787847354293,0.012409348880996847,0.018356927014670666,1.0483651276088004,1.0739532824670857,14.387500000000001,-22.1625,5
0.7,0.67R,15,4,2370,0.5920228506216908,0.5905803328385408,0.011505368291606234,0.011675823717718883,1.0311295472412003,1.0317439612380626,20.81000000000001,-28.3874999999998,8
0.8,0.67R,15,4,1466,0.5959754497751124,0.6034066159863385,0.010403134370314853,0.02438226740149435,1.0277220664969144,1.0725079827172734,27.402500000000007,-18.62249999999996,8
0.7,0.75R,10,4,2329,0.5527941176470588,0.5550069655374961,0.010386652542372879,0.00939647977095844,1.0278747749209587,1.0260920504520594,13.862499999999997,-42.22499999999999,8
0.7,0.67R,10,4,2423,0.5817765058901978,0.5829030605719482,0.008982199144503272,0.012027741528517905,1.0256520077703914,1.035892494584946,19.20750000000002,-32.482499999999774,8
0.7,0.50R,10,4,2693,0.6415091197356675,0.6439587520960505,0.008851871855368261,0.0019169881437386073,1.0296726483383045,1.00942700070053,-15.5875,-44.46249999999999,8
0.75,0.75R,15,4,1839,0.5672830127132102,0.5651073337614463,0.007987067892491392,0.002246676541627037,1.0199074971250326,1.0057957084131393,9.462499999999997,-20.6125,6
0.7,0.50R,15,4,2649,0.6492394289201353,0.654028668869022,0.007217181139755766,0.003937519637361039,1.0233593160094068,1.0146911949629525,-7.949999999999998,-39.8875,8
0.75,0.67R,5,4,2067,0.5548265460030166,0.5556313548208137,0.006156225772744129,-0.001712918182232532,1.0167434751309865,0.9955289444494384,2.352500000000002,-19.727500000000003,9
0.7,0.67R,5,4,2607,0.5498264901329762,0.5542208528330042,0.006038657871818294,0.005764044596950742,1.0199197859366902,1.0218735203426514,14.35250000000002,-27.78749999999988,8
0.75,0.50R,5,4,2230,0.6291465193764374,0.6220486804514248,0.005777972083659829,0.0013719263851060363,1.0276604085503767,1.0105096601702608,-4.512500000000001,-24.975,9
0.75,0.75R,5,4,2006,0.533688530491756,0.5367835745535745,0.005432033333571668,0.0009322634368116745,1.013929060907449,1.005038433664091,12.575000000000001,-18.9,9
0.7,0.75R,15,4,2270,0.5632660778552427,0.5642479877454605,0.004717284765346088,0.008856404531010638,1.0120972778187858,1.0228907005600392,14.3875,-38.17499999999999,8
0.7,0.75R,5,4,2528,0.5276813074565883,0.5330371568437643,0.004683967932109191,0.0056063958049793455,1.0140244348067113,1.0211017197724284,15.237499999999995,-36.650000000000006,9
0.7,0.50R,5,4,2834,0.6101815599720677,0.6131016279388547,0.003380612941444167,-0.001570914295938722,1.0127657021016065,0.9992967601293901,-19.374999999999996,-41.38749999999999,8
0.75,0.50R,15,4,2105,0.6598369621397338,0.6640362366992504,0.003121086021582925,0.010780172601969016,1.0116737016829391,1.0389105857758336,9.5125,-25.0625,5
0.75,0.67R,15,4,1906,0.5928994082840237,0.592906136288023,0.0026681131785066905,0.00601867414395848,1.0067715037202487,1.0162451139302977,9.732500000000005,-19.922500000000007,6
0.75,0.75R,10,4,1880,0.5458858702716756,0.5493988728179956,-0.00011556772390485491,-0.0033679886735681346,0.999357019400894,0.9910570089863989,-0.7125000000000039,-22.2125,6
0.75,0.50R,10,4,2136,0.6464466250371692,0.6467078516625766,-0.0009278360095153152,0.005144145583348799,0.9993541308017051,1.020445484377841,-0.3000000000000078,-28.112499999999986,6
0.8,0.50R,5,4,1689,0.6354152923121792,0.6321843786299011,-0.0015803485247244927,0.0064677074862275995,1.0001943782963933,1.0281851906195416,0.21249999999999858,-21.9375,5
0.75,0.67R,10,4,1943,0.5745320197044335,0.5768958423411482,-0.004941120087635224,-0.0004917311141266097,0.9865260131975011,0.9986921669607982,-1.2375000000000025,-21.012500000000006,6
