quantile,rr,horizon,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
0.9,1.1,5,4,588,0.49708804385063377,0.4996448212749985,0.06478406560465916,0.08340455651185405,1.1831856521736892,1.2226951120053569,43.48750000000002,-13.862500000000008,8
0.8,1.3,10,4,1184,0.4686385500301772,0.4669588402494179,0.06185658924709034,0.0505886621602262,1.1387926179934151,1.11392684738802,61.7125,-17.899999999999995,12
0.85,0.75,10,4,997,0.593982586262496,0.5848348691913846,0.061587955498226384,0.050634329645595666,1.1649829026366256,1.1445107581500835,51.525000000000006,-14.487499999999997,6
0.85,1.75,5,4,874,0.44996740547588004,0.45370148403943555,0.061337978435585264,0.04081847342563777,1.140854314732193,1.0874649458826366,44.512499999999996,-13.537500000000001,10
0.85,0.75,15,4,987,0.5959842619354022,0.5879457118695579,0.06133592909432291,0.0483555750688237,1.1643270898240214,1.134813785351992,46.837500000000006,-15.087499999999999,6
0.825,1.5,5,4,1078,0.46049301998958747,0.46323683328929954,0.06076308828775528,0.03673075049308398,1.1478851727612545,1.083536154073372,49.025000000000006,-20.700000000000003,9
0.85,2.0,5,4,855,0.44582826285366595,0.45110253722393445,0.06028716735081399,0.05610986657014383,1.132437757694684,1.1201007637410796,54.4375,-13.537500000000001,10
0.8,1.0,10,4,1292,0.5220515300302535,0.5184427222358294,0.06016039589842781,0.05537386195739814,1.1484739779797344,1.1392620487853355,68.25,-16.262499999999996,11
0.9,1.3,5,4,561,0.4714170692431562,0.4757821038090713,0.05958937198067635,0.08647609354199891,1.1564603882032816,1.2223069533377096,45.937500000000014,-19.54999999999999,8
0.9,1.0,5,4,594,0.5148207056101792,0.515613024117517,0.05943452380952381,0.0692814632147912,1.168848296362484,1.1831868672894925,38.05,-11.875,8
0.875,1.5,5,4,723,0.4696770255060188,0.4638208136379651,0.05925284725004291,0.06988055947233357,1.1354116963674459,1.1653158752661894,52.93749999999999,-12.05,9
0.875,1.0,5,4,779,0.526742328429741,0.5287821231189801,0.05909127532228361,0.07997243044873051,1.1703735446093035,1.215205384296742,57.4625,-12.700000000000001,7
