quantile,rr,horizon,windows,positive_windows,median_R,median_PF,total_trades,worst_DD,worst_streak,all_positive
0.875,2.0,5,4,3,0.05757740037787701,1.1252923935365937,688,-13.637499999999998,9,False
0.875,2.0,10,4,4,0.07624949000407998,1.1555217568799705,606,-16.9625,10,True
0.875,2.0,15,4,4,0.06832997311827957,1.1312509540486366,582,-15.975,9,True
0.9,0.5,5,4,4,0.058647548652694614,1.2225148269452066,688,-10.075000000000001,6,True
0.9,0.5,10,4,3,0.07500981932443047,1.2772263199566614,678,-9.45,5,False
0.9,0.5,15,4,3,0.07906520031421839,1.2905896600821565,675,-10.0,5,False
0.9,0.67,5,4,3,0.04382214076246334,1.134910755915592,651,-9.580000000000002,6,False
0.9,0.67,10,4,4,0.07152404610492846,1.2123618270372878,634,-10.830000000000004,5,True
0.9,0.67,15,4,4,0.08326858660130719,1.2444396286311705,630,-10.830000000000004,5,True
0.9,0.75,5,4,3,0.055250615006150056,1.1615587613729539,638,-8.0,7,False
0.9,0.75,10,4,4,0.09198413371797046,1.2634676996726353,617,-8.0,5,True
0.9,0.75,15,4,4,0.0959397372097084,1.2717778600942817,613,-8.25,5,True
0.9,1.0,5,4,4,0.05943452380952381,1.168848296362484,594,-11.875,8,True
0.9,1.0,10,4,4,0.11654265873015873,1.299031033705313,560,-10.0,6,True
0.9,1.0,15,4,4,0.12492741935483873,1.3037940364981546,555,-10.0,6,True
0.9,1.1,5,4,4,0.06478406560465916,1.1831856521736892,588,-13.862500000000008,8,True
0.9,1.1,10,4,4,0.1383409380305603,1.3535474188467709,551,-13.762500000000003,6,True
0.9,1.1,15,4,4,0.14584562841530058,1.3450794624854412,546,-13.4,6,True
0.9,1.2,5,4,4,0.07795009617771156,1.2044756460896957,574,-15.962500000000013,8,True
0.9,1.2,10,4,4,0.14117734991628797,1.3290838023308937,535,-14.262500000000014,6,True
0.9,1.2,15,4,4,0.1593688845401174,1.36112173944539,529,-13.800000000000015,6,True
0.9,1.3,5,4,3,0.05958937198067635,1.1564603882032816,561,-19.54999999999999,8,False
0.9,1.3,10,4,4,0.14364898989898991,1.3307132144341445,522,-20.03749999999999,6,True
0.9,1.3,15,4,4,0.14574507389162564,1.3296180738015995,514,-22.19999999999999,7,True
0.9,1.5,5,4,3,0.04366506998233457,1.1130325164727095,546,-17.7875,9,False
0.9,1.5,10,4,4,0.1430740987983979,1.3083828076490545,504,-17.3375,8,True
0.9,1.5,15,4,3,0.12315923502428497,1.2530466895139978,493,-19.5,8,False
0.9,1.75,5,4,2,0.025748646065625998,1.0684389860292944,536,-19.775,11,False
0.9,1.75,10,4,3,0.13228101023017905,1.2696599650644393,490,-17.5875,10,False
0.9,1.75,15,4,3,0.13074492296918766,1.2587769048031812,480,-19.75,8,False
0.9,2.0,5,4,4,0.02813892809389392,1.0630674927685928,525,-18.462500000000002,11,True
0.9,2.0,10,4,3,0.14067028985507246,1.3162664442948313,477,-15.9875,13,False
0.9,2.0,15,4,3,0.09228735373537356,1.1749493542669032,465,-19.0,9,False
