mc_max_drawdown_R,mc_worst_streak,mc_final_R
-4.811999999999999,5.0,18.39599999999999
-6.821500000000001,5.0,18.396
-6.770000000000001,6.0,18.39599999999999
-4.552500000000001,5.0,18.395999999999994
-4.836499999999997,4.0,18.395999999999994
-8.237500000000002,9.0,18.395999999999994
-5.772499999999992,6.0,18.395999999999997
-6.603000000000003,5.0,18.395999999999994
-5.112500000000003,5.0,18.395999999999997
-6.8195000000000014,5.0,18.395999999999994
-6.672500000000002,4.0,18.395999999999994
-12.561000000000003,5.0,18.395999999999994
-6.694500000000003,5.0,18.395999999999994
-7.537000000000002,7.0,18.395999999999994
-9.911000000000001,7.0,18.395999999999997
-7.096500000000001,6.0,18.395999999999994
-9.746500000000003,8.0,18.395999999999994
-11.244000000000003,9.0,18.395999999999994
-7.469000000000001,8.0,18.395999999999997
-8.2315,8.0,18.395999999999994
-6.663500000000003,7.0,18.395999999999997
-5.813499999999998,7.0,18.395999999999997
-4.6105,4.0,18.39599999999999
-7.036500000000002,5.0,18.395999999999997
-7.359000000000001,6.0,18.395999999999994
-5.0425,5.0,18.395999999999994
-6.6145,6.0,18.395999999999994
-4.8995000000000015,4.0,18.39599999999999
-6.222000000000003,7.0,18.395999999999994
-5.5924999999999905,5.0,18.396
-7.6934999999999985,4.0,18.39599999999999
-4.739499999999998,5.0,18.395999999999997
-9.092499999999987,6.0,18.395999999999994
-5.277499999999996,5.0,18.395999999999994
-10.70349999999999,7.0,18.395999999999994
-7.852999999999987,5.0,18.396
-6.688500000000001,7.0,18.395999999999997
-7.603500000000002,6.0,18.395999999999997
-6.802,5.0,18.39599999999999
-7.414500000000002,5.0,18.395999999999994
-9.94649999999999,10.0,18.39599999999999
-10.633999999999995,8.0,18.395999999999994
-10.266999999999987,7.0,18.39599999999999
-7.287500000000004,6.0,18.395999999999994
-6.414500000000001,4.0,18.395999999999994
-6.701000000000002,6.0,18.395999999999997
-6.037500000000002,6.0,18.395999999999997
-7.313999999999998,8.0,18.395999999999994
-9.700500000000003,7.0,18.395999999999997
-5.3955,6.0,18.395999999999994
-13.814000000000004,8.0,18.395999999999994
-6.854500000000002,5.0,18.395999999999997
-6.688500000000001,7.0,18.395999999999997
-5.769000000000001,5.0,18.395999999999997
-5.993500000000001,6.0,18.395999999999994
-5.652000000000001,5.0,18.395999999999994
-6.8050000000000015,7.0,18.39599999999999
-10.468000000000004,8.0,18.395999999999997
-7.471000000000003,5.0,18.396
-5.499500000000001,6.0,18.395999999999997
-11.317500000000003,7.0,18.395999999999994
-7.165000000000001,4.0,18.395999999999994
-6.599499999999994,4.0,18.395999999999994
-4.033000000000001,3.0,18.395999999999997
-8.309000000000001,8.0,18.39599999999999
-7.934000000000001,6.0,18.395999999999997
-7.057000000000002,7.0,18.395999999999994
-7.844000000000003,8.0,18.395999999999997
-5.169000000000002,4.0,18.395999999999994
-7.706000000000001,5.0,18.395999999999994
-4.437000000000001,5.0,18.39599999999999
-10.8275,9.0,18.39599999999999
-13.076000000000004,7.0,18.395999999999997
-12.101999999999983,8.0,18.396000000000004
-9.642500000000002,10.0,18.395999999999994
-5.765999999999993,5.0,18.395999999999997
-10.168500000000003,6.0,18.395999999999994
-3.654999999999994,3.0,18.395999999999997
-10.252000000000002,10.0,18.395999999999994
-6.82449999999999,5.0,18.396000000000004
-4.899500000000001,4.0,18.395999999999997
-7.297000000000001,5.0,18.395999999999997
-5.8995000000000015,6.0,18.395999999999994
-4.2219999999999995,4.0,18.395999999999997
-8.013000000000002,7.0,18.395999999999997
-6.420000000000003,5.0,18.39599999999999
-6.710000000000003,5.0,18.395999999999994
-4.872999999999994,4.0,18.396
-8.901499999999999,5.0,18.39599999999999
-10.417500000000002,5.0,18.395999999999994
-7.332499999999989,7.0,18.395999999999994
-6.513500000000002,7.0,18.395999999999994
-9.352000000000002,8.0,18.395999999999997
-7.251000000000003,4.0,18.395999999999994
-4.411500000000004,4.0,18.39599999999999
-6.103500000000002,4.0,18.395999999999997
