trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,tail_percent,rr,horizon,probability_threshold,model,auc
53,0.49056603773584906,0.0792452830188679,4.199999999999999,1.1555555555555554,-6.0,6,2.7735849056603774,16,12,0.8901542887732447,1,9.999999999999998,1.2,12,0.58,xgboost,0.5025700934579439
42,0.40476190476190477,-0.10952380952380951,-4.6,0.816,-8.2,5,2.7142857142857144,11,14,-1.1488181351097582,1,9.999999999999998,1.2,12,0.6,xgboost,0.5025700934579439
227,0.4801762114537445,0.06272026431718063,14.2375,1.1229092478687812,-13.800000000000015,6,3.140969162995595,20,17,1.377177452165421,1,9.999999999999998,1.2,15,0.0,baseline,0.5091814503579208
89,0.48314606741573035,0.06292134831460675,5.6000000000000005,1.1217391304347828,-10.0,7,2.764044943820225,18,14,0.9238744327916298,1,9.999999999999998,1.2,15,0.5,xgboost,0.5091814503579208
81,0.5061728395061729,0.11358024691358022,9.199999999999998,1.23,-8.8,7,2.888888888888889,18,13,1.4377163660549592,1,9.999999999999998,1.2,15,0.52,xgboost,0.5091814503579208
72,0.5416666666666666,0.19166666666666668,13.8,1.4181818181818187,-6.0,6,2.9722222222222223,19,12,2.3008773074809876,1,9.999999999999998,1.2,15,0.54,xgboost,0.5091814503579208
69,0.5507246376811594,0.2115942028985507,14.599999999999998,1.4709677419354843,-6.0,6,2.971014492753623,20,11,2.4363714582907163,1,9.999999999999998,1.2,15,0.56,xgboost,0.5091814503579208
60,0.5666666666666667,0.24666666666666662,14.799999999999997,1.5692307692307694,-4.8,4,3.0166666666666666,19,9,3.0135638239998674,1,9.999999999999998,1.2,15,0.58,xgboost,0.5091814503579208
51,0.5294117647058824,0.16470588235294115,8.399999999999999,1.3499999999999999,-5.0,5,3.176470588235294,17,9,1.9286262737559838,1,9.999999999999998,1.2,15,0.6,xgboost,0.5091814503579208
225,0.4533333333333333,0.028944444444444446,6.5125,1.054853653400716,-18.0875,6,3.1333333333333333,17,19,0.6224776541823501,1,9.999999999999998,1.25,10,0.0,baseline,0.4792368125701459
64,0.40625,-0.0859375,-5.5,0.8552631578947368,-10.5,8,2.75,13,15,-1.0142994820153577,1,9.999999999999998,1.25,10,0.5,xgboost,0.4792368125701459
54,0.4444444444444444,0.0,0.0,1.0,-6.25,5,2.6296296296296298,12,14,0.0,1,9.999999999999998,1.25,10,0.52,xgboost,0.4792368125701459
48,0.4166666666666667,-0.0625,-3.0,0.8928571428571429,-5.25,4,2.7083333333333335,10,14,-0.7930564295314868,1,9.999999999999998,1.25,10,0.54,xgboost,0.4792368125701459
