trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,tail_percent,rr,horizon,probability_threshold,model,auc
84,0.42857142857142855,-0.05714285714285716,-4.800000000000002,0.9000000000000002,-12.200000000000001,6,2.607142857142857,15,16,-0.840505399577326,1,12.5,1.2,15,0.54,xgboost,0.46220575414123805
74,0.44594594594594594,-0.018918918918918927,-1.4000000000000006,0.9658536585365854,-10.6,5,2.608108108108108,14,15,-0.24370219883719807,1,12.5,1.2,15,0.56,xgboost,0.46220575414123805
59,0.4067796610169492,-0.10508474576271187,-6.2,0.8228571428571427,-11.399999999999999,5,2.6271186440677967,10,16,-1.143055965384461,1,12.5,1.2,15,0.58,xgboost,0.46220575414123805
50,0.44,-0.032000000000000015,-1.6000000000000008,0.9428571428571427,-6.399999999999999,3,2.62,10,15,-0.33333052957169473,1,12.5,1.2,15,0.6,xgboost,0.46220575414123805
301,0.48172757475083056,0.08795681063122925,26.475,1.1750413223140497,-10.875,6,3.142857142857143,22,22,2.6737574792972287,1,12.5,1.25,10,0.0,baseline,0.46415261756876663
100,0.37,-0.1675,-16.75,0.7341269841269841,-17.0,6,2.5,10,24,-3.311991309727218,1,12.5,1.25,10,0.5,xgboost,0.46415261756876663
84,0.35714285714285715,-0.19642857142857142,-16.5,0.6944444444444444,-16.75,5,2.5833333333333335,10,20,-3.1690233491687,1,12.5,1.25,10,0.52,xgboost,0.46415261756876663
75,0.32,-0.28,-21.0,0.5882352941176471,-21.25,5,2.6133333333333333,8,20,-4.230409962506884,1,12.5,1.25,10,0.54,xgboost,0.46415261756876663
65,0.3230769230769231,-0.27307692307692305,-17.75,0.5965909090909091,-18.0,7,2.769230769230769,10,17,-3.6108006211761925,1,12.5,1.25,10,0.56,xgboost,0.46415261756876663
52,0.34615384615384615,-0.22115384615384615,-11.5,0.6617647058823529,-11.75,9,2.673076923076923,12,14,-2.633372737404457,1,12.5,1.25,10,0.58,xgboost,0.46415261756876663
44,0.3409090909090909,-0.23295454545454544,-10.25,0.646551724137931,-10.5,8,2.590909090909091,10,14,-2.368928343827032,1,12.5,1.25,10,0.6,xgboost,0.46415261756876663
300,0.49,0.09508333333333333,28.525,1.1882217090069285,-10.375,6,3.22,24,20,2.815710727576519,1,12.5,1.25,12,0.0,baseline,0.4720549533877514
98,0.3979591836734694,-0.10459183673469388,-10.25,0.826271186440678,-12.75,5,2.704081632653061,14,19,-1.7939242121686712,1,12.5,1.25,12,0.5,xgboost,0.4720549533877514
81,0.38271604938271603,-0.1388888888888889,-11.25,0.775,-15.75,7,2.802469135802469,14,18,-2.299375722423651,1,12.5,1.25,12,0.52,xgboost,0.4720549533877514
69,0.37681159420289856,-0.15217391304347827,-10.5,0.7558139534883721,-16.25,7,2.5942028985507246,12,20,-2.4827318818537663,1,12.5,1.25,12,0.54,xgboost,0.4720549533877514
59,0.3898305084745763,-0.1228813559322034,-7.25,0.7986111111111112,-16.25,7,2.610169491525424,11,19,-1.6753357242860585,1,12.5,1.25,12,0.56,xgboost,0.4720549533877514
53,0.39622641509433965,-0.10849056603773585,-5.75,0.8203125,-13.25,7,2.6792452830188678,11,18,-1.2281280601197127,1,12.5,1.25,12,0.58,xgboost,0.4720549533877514
