trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
495,0.6464646464646465,0.0027272727272727266,1.3499999999999996,1.008610380291796,-13.8125,6,0.12446609056425116,3,0.7,0.50R,15
506,0.5513833992094862,0.01111166007905139,5.622500000000003,1.03724434876211,-12.137500000000001,8,0.5504342955164588,3,0.7,0.67R,5
440,0.5840909090909091,0.033971590909090923,14.947500000000005,1.102013308309162,-10.287499999999998,6,1.4170790867345697,3,0.7,0.67R,10
421,0.5890736342042755,0.022072446555819487,9.292500000000004,1.0606065547040602,-13.145,6,0.9171231162210304,3,0.7,0.67R,15
495,0.5272727272727272,0.006161616161616156,3.049999999999997,1.019856770833333,-12.749999999999996,8,0.2684456438128686,3,0.7,0.75R,5
425,0.5505882352941176,0.020676470588235293,8.7875,1.0579029733959313,-13.9875,6,0.7727637167199499,3,0.7,0.75R,10
409,0.5550122249388753,0.0009168704156479272,0.3750000000000022,1.0023055640946819,-16.099999999999998,7,0.03446785594495318,3,0.7,0.75R,15
466,0.5021459227467812,0.02797746781115879,13.037499999999996,1.0890767785464173,-9.937500000000002,10,1.082002707458983,3,0.7,1.00R,5
386,0.5077720207253886,0.0407059585492228,15.7125,1.1049423943897148,-14.774999999999999,9,1.303019057355708,3,0.7,1.00R,10
366,0.505464480874317,0.016837431693989064,6.162499999999998,1.0384435433562074,-15.4125,15,0.5772378678778993,3,0.7,1.00R,15
425,0.5811764705882353,-0.03535294117647059,-15.024999999999999,0.88401042169256,-16.912499999999998,9,-1.958528559671152,3,0.75,0.50R,5
395,0.6253164556962025,-0.0164240506329114,-6.4875000000000025,0.9494546162835995,-10.4625,6,-0.7309237961732171,3,0.75,0.50R,10
387,0.6459948320413437,-0.01330749354005168,-5.15,0.9598987736032706,-9.837499999999999,5,-0.6053785299048771,3,0.75,0.50R,15
396,0.5277777777777778,-0.030827020202020196,-12.207499999999998,0.9090434944584147,-19.727500000000003,9,-1.547349691298419,3,0.75,0.67R,5
350,0.5628571428571428,-0.011128571428571422,-3.894999999999998,0.9700211660573408,-12.355000000000002,6,-0.45469688892627663,3,0.75,0.67R,10
338,0.5857988165680473,0.00022928994082840667,0.07750000000000146,1.0005955811719502,-12.585,5,0.009113391315570141,3,0.75,0.67R,15
387,0.5116279069767442,-0.03210594315245478,-12.425,0.9080055529847294,-17.212499999999995,9,-1.457958570898613,3,0.75,0.75R,5
339,0.5309734513274337,-0.02201327433628319,-7.462500000000002,0.9441481897277575,-10.775,6,-0.8413435777470811,3,0.75,0.75R,10
326,0.549079754601227,-0.020092024539877296,-6.549999999999999,0.9518692018003122,-9.625,6,-0.7939436159476461,3,0.75,0.75R,15
361,0.48753462603878117,-0.012707756232686981,-4.5875,0.9638992720834154,-14.349999999999998,11,-0.4635531579061219,3,0.75,1.00R,5
309,0.4692556634304207,-0.028843042071197415,-8.912500000000001,0.933736059479554,-17.837499999999995,9,-0.8870126146411506,3,0.75,1.00R,10
292,0.5,-0.003039383561643833,-0.8874999999999993,0.9933774834437087,-14.95,9,-0.09399073129501972,3,0.75,1.00R,15
